## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Drozdov.idf
## Date:	25.04.2013 01:00:59
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Drozdov                                                                                                                                                                           ## Subject:	Drozdov2                                                                           
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	10373                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
9462985347	SMP	1	130.8950	141.4288	71.9897	74.9995	115.0851	165.6175	350.2142	278.1577	0	852	16821
9463005352	SMP	1	130.9838	142.2206	70.9947	74.9904	115.2145	165.9584	350.1676	279.8143	0	823	16821
9463025315	SMP	1	130.9140	141.7704	68.9763	74.9994	115.3972	165.9261	351.3658	279.1945	0	800	16821
9463045490	SMP	1	131.0311	142.2021	69.9960	74.9996	115.6807	165.9568	352.5895	280.4952	0	714	16821
9463065149	SMP	1	131.3787	142.5206	70.9989	75.9992	115.7869	166.0478	352.4945	282.4608	0	718	16821
9463085158	SMP	1	131.3741	142.2479	69.9856	74.9998	115.7606	165.9760	352.2619	282.6301	0	709	16821
9463105145	SMP	1	131.2129	142.6040	69.9997	73.9994	115.8768	166.2789	352.8598	283.1181	0	728	16821
9463125143	SMP	1	131.2568	142.6969	69.9966	74.9998	115.8818	166.1162	353.1302	284.1538	0	709	16821
9463145364	SMP	1	131.2119	142.6676	69.9976	75.9994	115.8810	166.2841	353.7477	284.0704	0	714	16821
9463165146	SMP	1	131.2949	142.8268	69.9962	75.9998	115.9865	166.4188	354.1841	284.1665	0	712	16821
9463185021	SMP	1	131.7034	142.9260	71.9982	75.9998	116.0157	166.2365	352.6976	285.2566	0	711	16821
9463205014	SMP	1	131.3914	142.7023	72.9979	75.9991	116.0251	166.3894	353.0410	284.4203	0	724	16821
9463225019	SMP	1	134.6481	144.4628	72.9871	74.9967	117.4746	166.8726	336.0602	292.5106	0	712	16821
9463245243	SMP	1	146.3002	148.6976	69.9829	74.9992	122.9978	168.8691	269.0100	320.7745	0	711	16821
9463265021	SMP	1	156.1227	151.3040	63.9947	72.9992	127.6919	170.0891	215.2317	334.0067	0	708	16821
9463285035	SMP	1	157.8323	152.2476	62.9997	73.9997	128.7155	170.7190	210.5692	337.4763	0	746	16821
9463304892	SMP	1	158.2105	152.5877	61.9885	73.9929	128.9911	170.9962	208.5151	338.7793	0	716	16821
9463324894	SMP	1	158.0900	152.3519	62.9960	73.9920	129.2147	170.8938	209.2514	338.9492	0	718	16821
9463345115	SMP	1	158.5929	152.4575	61.9927	73.9940	129.5583	170.8897	208.7063	339.4481	0	718	16821
9463364896	SMP	1	158.5795	152.4140	63.9988	73.9989	129.6752	170.8852	209.3298	339.4354	0	720	16821
9463384917	SMP	1	158.9577	152.4312	61.9918	73.9908	129.7975	170.8979	208.8215	339.4090	0	752	16821
9463404910	SMP	1	158.5463	152.1713	62.9904	73.9911	129.7665	170.9379	209.7406	338.2488	0	894	16821
9463424956	SMP	1	158.4869	152.6850	62.9883	73.9919	129.5618	171.0500	209.8619	338.9211	0	911	16821
9463445119	SMP	1	158.6001	152.5809	61.9889	74.9920	129.6497	171.1507	209.8506	338.6823	0	822	16821
9463465087	SMP	1	158.5286	152.9761	63.9980	74.9931	129.8048	171.2145	210.5921	339.9779	0	1078	16821
9463484833	SMP	1	158.2902	152.5851	63.9988	74.9980	129.8785	171.2174	212.4679	339.3500	0	839	16821
9463504833	SMP	1	158.7726	152.7316	64.9858	74.9997	130.0051	171.0775	212.2836	339.7987	0	832	0
9463524668	SMP	1	159.3210	152.7752	63.9974	73.9955	130.3677	170.5638	210.9471	343.1396	0	705	0
9463546003	SMP	1	158.0511	156.1312	64.9779	62.9656	130.5200	168.4181	213.1239	406.4482	0	885	0
9463564737	SMP	1	151.5728	170.9223	37.9988	23.9311	128.2283	163.7113	231.7365	617.8718	0	821	1
9463584889	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	438	1
9463604729	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	381	2
9463624872	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	435	2
9463645624	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	388	3
9463664769	SMP	1	117.3940	145.8527	64.9722	49.7228	111.7992	157.0872	437.0272	418.0006	0	860	3
9463684598	SMP	1	121.5880	138.4067	73.9990	67.9876	111.7639	158.7909	405.9438	318.7736	0	876	4
9463704729	SMP	1	122.5537	137.1087	80.9906	82.9918	111.9592	160.4160	403.6524	287.0872	0	936	4
9463724679	SMP	1	122.3242	138.3125	81.9796	77.9921	111.9778	161.0766	403.5929	290.6533	0	892	5
9463745632	SMP	1	122.3103	138.5416	82.9768	80.9932	112.0273	161.6708	403.9882	289.8362	0	986	5
9463764482	SMP	1	122.6171	138.2321	81.9890	80.9894	111.8152	162.3083	402.7051	283.0439	0	949	6
9463784660	SMP	1	122.3876	138.5243	82.9848	81.9887	111.9093	162.5073	403.1565	281.1098	0	1009	6
9463804476	SMP	1	124.3748	137.7450	88.9047	81.9962	111.8107	162.7147	385.9985	273.2230	0	948	7
9463824585	SMP	1	124.2979	138.1480	88.9017	81.9997	111.9429	162.9568	386.0200	272.0329	0	990	7
9463845379	SMP	1	124.4334	138.0109	88.8941	81.9998	111.9068	163.0033	385.0192	270.0475	0	935	8
9463864453	SMP	1	124.7174	138.1636	88.9003	82.9950	111.9379	163.0358	383.6959	269.7176	0	925	8
9463884368	SMP	1	124.7775	138.0031	88.8921	81.9986	112.0821	162.8540	383.0769	269.9809	0	865	9
9463904470	SMP	1	123.1202	138.6416	83.9902	81.9995	112.1334	162.8522	396.0971	273.3221	0	1047	9
9463924262	SMP	1	124.8958	138.2668	86.8885	81.9997	112.0376	162.9289	382.0023	273.0097	0	946	10
9463945505	SMP	1	124.1799	138.2893	86.9066	81.9993	111.7993	163.1451	384.5707	272.0894	0	918	10
9463964234	SMP	1	124.3750	138.3043	87.9046	82.9941	111.7579	163.1312	383.8472	271.4423	0	905	11
9463984540	SMP	1	124.2668	138.4532	86.9051	81.9995	111.7840	163.1648	384.0239	271.1757	0	920	11
9464004263	SMP	1	123.0691	139.1652	82.9906	80.9993	111.8169	163.1982	391.7044	275.0268	0	963	12
9464024355	SMP	1	123.0657	139.0600	82.9925	81.9997	111.8930	163.1645	395.1468	276.9387	0	875	12
9464045256	SMP	1	123.2945	139.0241	82.9867	81.9998	111.9867	163.1692	395.7430	277.8523	0	917	13
9464064343	SMP	1	123.2307	138.6858	81.9865	81.9976	111.9751	162.9698	396.3144	277.6716	0	931	13
9464084099	SMP	1	123.4593	138.9676	79.9858	81.9777	111.9598	163.1429	395.3934	277.4520	0	892	14
9464106484	SMP	1	123.0073	139.1622	80.9928	80.9912	111.9369	163.0322	396.0971	278.7242	0	902	15
9464124096	SMP	1	122.9665	138.7997	81.9892	80.9997	111.9435	162.8200	397.1254	279.1757	0	921	15
9464145253	SMP	1	123.0530	138.5848	79.9909	81.9955	112.0548	162.3120	397.7992	280.7208	0	952	15
9464164021	SMP	1	123.5721	138.3336	80.9897	81.9964	112.3393	161.5692	397.1758	284.2281	0	934	16
9464184237	SMP	1	123.5296	138.2328	80.9913	79.9980	112.6732	160.2605	397.1545	297.8306	0	892	16
9464203976	SMP	1	123.2377	137.7185	76.9951	74.9969	112.7997	158.9062	398.4630	306.9984	0	859	17
9464226359	SMP	1	122.1152	138.9834	75.9981	70.9268	112.8808	157.7251	405.4643	336.4872	0	887	18
9464245001	SMP	1	121.1445	140.3819	74.9992	68.9483	112.3359	157.4951	409.5163	352.9786	0	865	18
9464264097	SMP	1	120.6215	138.6872	75.9528	70.9250	111.9983	157.1979	412.8852	339.5360	0	942	18
9464283923	SMP	1	120.7471	138.3212	76.9843	71.9303	111.9418	157.4156	413.9247	335.6057	0	947	19
9464304094	SMP	1	119.6807	141.2605	76.9954	68.9021	112.0050	156.5717	417.5284	373.4709	0	886	19
9464323863	SMP	1	117.7012	146.5879	71.9803	57.8100	112.1013	156.2000	431.9722	435.5907	0	854	20
9464347246	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	409	21
9464363864	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	389	21
9464383953	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	472	21
9464403847	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	387	22
9464426042	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	401	23
9464444753	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	382	23
9464463843	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	514	23
9464483750	SMP	1	117.6461	148.3128	73.9878	61.8179	112.7829	157.0995	441.2928	444.5448	0	873	24
9464503849	SMP	1	119.5012	143.6367	95.8912	76.9175	112.9628	158.1994	434.6311	381.9106	0	1100	24
9464523752	SMP	1	121.6947	140.6493	98.9214	85.8492	113.0775	159.5287	418.1581	335.0958	0	1011	25
9464544879	SMP	1	117.0894	140.5688	141.9949	92.9286	113.0051	159.8410	462.4868	332.7033	0	1144	25
9464563660	SMP	1	124.5274	136.3397	133.9928	93.8949	113.0664	160.5332	394.5399	277.4619	0	1065	26
9464583868	SMP	1	127.7912	138.9239	132.9816	90.9874	113.0083	161.0066	357.8438	300.0050	0	1043	26
9464603662	SMP	1	130.7614	137.3192	118.9897	88.9431	113.1976	161.3034	332.2261	279.2908	0	972	27
9464623739	SMP	1	123.7892	140.1311	88.9889	89.9665	113.0832	161.5299	397.3940	305.6266	0	1037	27
9464644630	SMP	1	131.1885	136.8679	118.9794	91.9453	113.0037	161.5054	328.4173	274.6798	0	1010	28
9464663720	SMP	1	131.0714	136.5226	118.9717	92.9463	113.0106	161.8943	328.4271	267.8560	0	1021	28
9464683503	SMP	1	131.1775	136.3004	117.9738	92.9455	112.9040	161.9188	327.5585	264.3190	0	994	29
9464703655	SMP	1	124.8730	140.0000	94.8736	87.9957	113.0495	162.3091	388.1376	297.8303	0	983	29
9464723561	SMP	1	123.2954	140.5785	89.9790	88.9918	113.1683	162.0270	402.5463	304.3489	0	910	30
9464745890	SMP	1	124.8992	139.9485	94.8791	87.9965	113.3224	161.8839	390.9788	302.6514	0	983	31
9464763450	SMP	1	124.8052	140.4820	93.8938	87.9973	113.3133	162.6039	391.3499	301.4826	0	921	31
9464783568	SMP	1	125.0298	139.8808	96.8835	88.9959	113.1555	161.9743	389.5475	301.0792	0	945	31
9464803415	SMP	1	124.0731	140.9705	89.8972	86.9953	113.0946	162.8778	392.5103	301.0982	0	940	32
9464823543	SMP	1	123.2408	141.1363	86.9503	87.9942	113.1074	162.6002	400.3170	303.7057	0	969	32
9464844505	SMP	1	123.0373	140.9286	88.9934	87.9937	112.9172	162.6635	402.9417	304.1980	0	939	33
