## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Kiryukhin.idf
## Date:	25.04.2013 01:01:00
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Kiryukhin                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	13717                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
10076488438	SMP	1	174.7288	124.7340	76.9910	79.9874	147.6329	137.0862	221.2969	344.6963	0	928	15335
10076508407	SMP	1	174.5808	124.8421	76.9882	78.9894	147.5446	137.0419	221.4643	345.1396	0	1033	15335
10076528427	SMP	1	174.5666	124.7198	76.9903	79.9877	147.5408	137.0406	221.6755	345.1669	0	894	15335
10076548419	SMP	1	174.7446	124.6801	76.9916	79.9891	147.5533	137.0344	221.3253	345.0330	0	891	15335
10076568694	SMP	1	174.8825	124.6577	76.9819	79.9898	147.7978	137.0931	221.3208	344.5985	0	802	15335
10076588352	SMP	1	175.0767	124.6720	75.9689	79.9865	147.8591	137.0706	220.9491	344.2862	0	798	15335
10076608356	SMP	1	175.2135	124.6923	76.9924	79.9861	147.9336	137.0736	220.4686	344.2322	0	790	15335
10076628223	SMP	1	175.1599	124.6885	76.9889	79.9833	147.8572	137.0747	220.1137	344.2368	0	784	15335
10076648224	SMP	1	175.0931	124.7446	77.9979	79.9829	147.8139	137.1001	219.8852	344.3827	0	798	15335
10076669191	SMP	1	175.0907	124.7314	77.9979	79.9821	147.8009	137.0967	219.8124	344.4435	0	794	15335
10076688219	SMP	1	175.0359	124.6852	77.9980	79.9826	147.7209	137.1200	219.7469	344.2441	0	791	15335
10076708223	SMP	1	175.0044	124.6193	77.9982	79.9825	147.6322	137.0806	219.5420	343.9656	0	788	15335
10076728223	SMP	1	175.0273	124.6718	77.9981	79.9826	147.6278	137.0828	219.2701	343.8957	0	809	15335
10076748115	SMP	1	175.1396	124.6739	77.9966	79.9785	147.6305	137.0825	218.7611	343.8995	0	780	15335
10076768318	SMP	1	175.1222	124.6384	77.9945	79.9832	147.6315	137.0818	218.4415	343.8507	0	786	15335
10076788098	SMP	1	175.1165	124.6499	77.9907	79.9821	147.6053	136.9708	218.1898	344.1923	0	792	15335
10076808098	SMP	1	175.1892	124.6154	77.9946	79.9819	147.5345	136.9973	217.6498	344.2523	0	810	15335
10076828097	SMP	1	175.1527	124.5659	77.9921	79.9834	147.6404	136.9413	217.6787	344.3034	0	792	15335
10076847970	SMP	1	175.1400	124.6104	77.9920	79.9833	147.5255	136.9940	217.4744	344.2951	0	795	15335
