## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Karapetyan_gr4_newbies-eye_data.idf
## Date:	27.04.2012 10:54:11
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	38526
## Reversed:	none
## [Run]
## Subject:	Karapetyan_gr4_newbies
## Description:	Run22
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
10484346547	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
10484347393	SMP	1	115.77	74.94	37.00	37.00	112.89	86.47	509.59	339.12
10484349392	SMP	1	115.85	74.98	37.00	37.00	112.93	86.48	508.78	339.01
10484351394	SMP	1	115.91	74.96	37.00	37.00	113.01	86.47	507.67	338.93
10484353394	SMP	1	115.98	74.91	36.00	37.00	113.03	86.47	508.18	337.57
10484355399	SMP	1	116.00	74.93	37.00	36.00	113.07	86.45	508.72	337.89
10484357397	SMP	1	116.02	74.92	38.00	36.00	113.14	86.47	507.93	337.30
10484359397	SMP	1	116.09	74.93	37.00	37.00	113.16	86.48	508.08	336.79
10484361397	SMP	1	116.09	74.94	37.00	37.00	113.23	86.49	506.67	336.63
10484363395	SMP	1	116.12	74.98	37.00	37.00	113.28	86.50	505.55	336.81
10484365399	SMP	1	116.21	74.98	37.00	37.00	113.32	86.51	505.84	337.18
10484367400	SMP	1	116.28	74.97	37.00	37.00	113.35	86.50	506.77	337.49
10484369399	SMP	1	116.29	74.89	37.00	36.00	113.37	86.49	507.66	335.95
10484371399	SMP	1	116.26	75.04	37.00	36.00	113.38	86.49	507.38	339.11
10484373400	SMP	1	116.31	74.97	38.00	37.00	113.42	86.47	506.97	339.24
10484375401	SMP	1	116.40	74.99	37.00	36.00	113.44	86.50	508.20	339.54
10484377403	SMP	1	116.38	74.99	37.00	36.00	113.45	86.52	508.63	339.14
10484379403	SMP	1	116.45	74.98	37.00	37.00	113.46	86.52	510.28	338.12
