## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Lugancov-eye_data.idf
## Date:	20.04.2012 12:08:39
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	18281
## Reversed:	none
## [Run]
## Subject:	Lugancov
## Description:	Run6
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
19527997316	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
19527997760	SMP	1	87.31	74.42	48.00	48.00	84.53	78.91	323.51	794.69
19527999759	SMP	1	87.35	74.38	48.00	46.00	84.49	78.95	325.72	792.83
19528001760	SMP	1	87.34	74.38	48.00	48.00	84.46	78.97	327.55	791.28
19528003760	SMP	1	87.39	74.41	47.00	47.00	84.40	78.98	330.65	790.49
19528005761	SMP	1	87.32	74.40	48.00	46.00	84.36	78.98	331.95	789.85
19528007763	SMP	1	87.27	74.42	48.00	46.00	84.28	78.99	333.08	789.84
19528009764	SMP	1	87.26	74.36	47.00	46.00	84.23	78.99	334.34	788.94
19528011766	SMP	1	87.26	74.42	49.00	47.00	84.17	79.00	336.12	788.95
19528013766	SMP	1	87.10	74.35	48.00	46.00	84.13	78.99	335.31	788.12
19528015764	SMP	1	87.13	74.35	46.00	47.00	84.09	79.03	335.48	786.66
19528017766	SMP	1	87.04	74.40	48.00	46.00	84.05	79.01	334.74	787.11
19528019764	SMP	1	86.99	74.39	47.00	47.00	84.02	79.02	333.98	787.04
19528021767	SMP	1	86.93	74.35	47.00	46.00	83.97	79.02	333.33	786.63
19528023768	SMP	1	86.82	74.39	46.00	47.00	83.93	79.03	331.75	786.77
19528025767	SMP	1	86.87	74.40	46.00	47.00	83.88	79.05	332.15	786.70
19528027768	SMP	1	86.73	74.46	46.00	46.00	83.84	79.05	331.14	787.72
19528029766	SMP	1	86.67	74.44	47.00	47.00	83.79	79.04	330.22	788.47
19528031774	SMP	1	86.54	74.44	46.00	47.00	83.74	79.04	328.42	788.98
19528033774	SMP	1	86.54	74.35	47.00	48.00	83.63	79.03	328.76	787.60
19528035774	SMP	1	86.50	74.35	47.00	46.00	83.50	79.03	330.99	786.34
19528037772	SMP	1	86.43	74.43	47.00	47.00	83.40	79.02	333.50	787.09
