## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Ryazanov-eye_data.idf
## Date:	20.04.2012 12:00:31
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	35326
## Reversed:	none
## [Run]
## Subject:	Ryazanov
## Description:	Run5
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
19042396232	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
19042396346	SMP	1	128.17	83.39	38.00	39.00	120.67	91.67	592.46	535.96
19042398345	SMP	1	128.17	83.46	38.00	39.00	120.72	91.67	591.86	536.32
19042400344	SMP	1	128.22	83.44	38.00	39.00	120.74	91.65	591.83	536.55
19042402345	SMP	1	128.23	83.42	38.00	38.00	120.75	91.67	592.02	536.12
19042404351	SMP	1	128.29	83.46	37.00	38.00	120.79	91.63	592.45	537.22
19042406347	SMP	1	128.29	83.38	37.00	38.00	120.81	91.64	592.69	536.47
19042408346	SMP	1	128.25	83.39	38.00	38.00	120.82	91.62	591.81	536.34
19042410349	SMP	1	128.28	83.33	37.00	39.00	120.87	91.60	590.70	535.78
19042412347	SMP	1	128.29	83.39	38.00	38.00	120.90	91.58	589.41	536.35
19042414352	SMP	1	128.33	83.36	37.00	37.00	120.91	91.56	589.25	537.00
19042416353	SMP	1	128.31	83.39	38.00	38.00	120.90	91.53	589.16	538.45
19042418350	SMP	1	128.33	83.28	37.00	39.00	120.95	91.55	588.80	537.10
19042420350	SMP	1	128.35	83.27	37.00	38.00	120.95	91.53	588.85	536.10
19042422350	SMP	1	128.37	83.19	38.00	37.00	121.00	91.47	588.25	535.10
19042424354	SMP	1	128.36	83.26	38.00	38.00	121.02	91.43	587.32	536.34
19042426358	SMP	1	128.35	83.22	37.00	39.00	121.02	91.42	586.58	537.21
19042428360	SMP	1	128.33	83.21	37.00	38.00	120.98	91.46	586.33	536.95
19042430357	SMP	1	128.33	83.14	37.00	39.00	120.99	91.42	586.32	536.03
19042432355	SMP	1	128.33	83.19	37.00	38.00	120.99	91.42	586.36	535.82
19042434358	SMP	1	128.32	83.14	37.00	38.00	120.99	91.41	586.15	535.32
19042436360	SMP	1	128.33	83.19	37.00	38.00	121.00	91.36	586.05	536.99
19042438359	SMP	1	128.30	83.13	38.00	38.00	120.99	91.41	585.61	536.34
19042440358	SMP	1	128.28	83.14	37.00	38.00	121.00	91.35	584.71	536.86
19042442357	SMP	1	128.35	83.08	37.00	38.00	120.99	91.36	585.62	535.96
19042444362	SMP	1	128.30	83.08	37.00	38.00	120.98	91.32	585.68	535.73
19042446363	SMP	1	128.31	83.10	38.00	38.00	120.95	91.32	586.37	536.10
19042448362	SMP	1	128.28	83.12	37.00	38.00	120.96	91.36	586.28	536.19
19042450362	SMP	1	128.28	83.12	37.00	38.00	120.93	91.33	586.34	536.88
19042452363	SMP	1	128.29	83.10	38.00	38.00	120.94	91.33	586.41	536.87
19042454365	SMP	1	128.34	83.15	37.00	38.00	120.95	91.36	587.01	537.07
19042456367	SMP	1	128.29	83.11	37.00	38.00	120.94	91.37	587.13	536.41
19042458366	SMP	1	128.33	83.03	38.00	38.00	120.90	91.39	588.24	533.88
19042460365	SMP	1	128.30	83.08	38.00	38.00	120.93	91.36	588.21	533.76
19042462364	SMP	1	128.28	83.08	38.00	38.00	120.92	91.37	587.86	533.50
19042464369	SMP	1	128.28	83.11	38.00	38.00	120.92	91.36	587.73	534.31
19042466369	SMP	1	128.31	83.06	38.00	38.00	120.89	91.35	588.32	534.46
19042468367	SMP	1	128.30	83.13	38.00	38.00	120.85	91.40	589.59	534.53
19042470368	SMP	1	128.29	83.15	38.00	38.00	120.86	91.38	590.05	535.16
19042472368	SMP	1	128.26	83.09	38.00	38.00	120.87	91.41	589.71	534.25
19042474374	SMP	1	128.26	83.14	38.00	37.00	120.88	91.40	589.13	534.55
19042476371	SMP	1	128.22	83.15	38.00	38.00	120.87	91.39	588.17	535.15
19042478372	SMP	1	128.25	83.18	38.00	37.00	120.83	91.42	588.51	535.58
19042480373	SMP	1	128.28	83.12	38.00	38.00	120.84	91.43	589.55	534.87
19042482373	SMP	1	128.22	83.15	38.00	38.00	120.83	91.42	589.47	534.67
19042484376	SMP	1	128.22	83.12	38.00	38.00	120.87	91.43	588.70	533.92
19042486376	SMP	1	128.22	83.09	38.00	38.00	120.85	91.40	588.12	533.46
19042488375	SMP	1	128.25	83.12	37.00	39.00	120.84	91.38	588.44	533.94
19042490375	SMP	1	128.21	83.14	37.00	39.00	120.84	91.40	588.26	534.33
19042492376	SMP	1	128.33	83.10	38.00	38.00	120.82	91.38	590.74	534.40
19042494379	SMP	1	128.23	83.17	38.00	38.00	120.83	91.43	590.10	534.75
19042496377	SMP	1	128.23	83.10	38.00	38.00	120.85	91.40	589.42	534.33
19042498379	SMP	1	128.23	83.14	38.00	39.00	120.86	91.41	588.67	534.34
19042500381	SMP	1	128.31	83.10	37.00	38.00	120.84	91.41	589.62	533.77
19042502383	SMP	1	128.24	83.10	38.00	38.00	120.86	91.39	589.24	533.65
19042504385	SMP	1	128.21	83.11	38.00	38.00	120.83	91.43	589.06	533.23
19042506386	SMP	1	128.22	83.12	37.00	38.00	120.85	91.42	588.62	533.12
19042508385	SMP	1	128.25	83.12	38.00	38.00	120.87	91.42	588.10	533.26
19042510382	SMP	1	128.29	83.17	38.00	39.00	120.88	91.44	588.48	533.80
19042512382	SMP	1	128.31	83.14	37.00	38.00	120.88	91.45	589.15	533.57
19042514387	SMP	1	128.24	83.10	38.00	38.00	120.87	91.44	588.81	532.94
19042516387	SMP	1	128.24	83.12	38.00	39.00	120.89	91.46	588.10	532.28
19042518390	SMP	1	128.26	83.17	38.00	39.00	120.90	91.46	587.66	532.63
19042520388	SMP	1	128.24	83.20	38.00	39.00	120.92	91.48	586.69	533.48
19042522386	SMP	1	128.28	83.16	37.00	38.00	120.95	91.50	586.30	533.16
19042524391	SMP	1	128.32	83.12	38.00	38.00	120.95	91.45	586.69	532.86
19042526393	SMP	1	128.31	83.12	37.00	38.00	120.98	91.46	586.54	532.40
19042528393	SMP	1	128.33	83.16	38.00	39.00	120.99	91.44	586.62	532.98
19042530390	SMP	1	128.34	83.18	38.00	38.00	121.00	91.45	586.53	533.93
19042532390	SMP	1	128.33	83.22	38.00	39.00	121.03	91.42	585.83	535.71
19042534396	SMP	1	128.34	83.16	37.00	38.00	121.05	91.44	585.19	535.66
19042536397	SMP	1	128.28	83.18	37.00	39.00	121.05	91.42	583.54	535.92
19042538397	SMP	1	128.38	83.11	38.00	38.00	121.08	91.42	583.70	534.94
19042540397	SMP	1	128.40	83.11	37.00	38.00	121.10	91.41	584.03	534.13
19042542395	SMP	1	128.41	83.09	38.00	39.00	121.14	91.40	583.91	533.73
19042544399	SMP	1	128.41	83.06	38.00	39.00	121.13	91.37	584.00	533.40
19042546398	SMP	1	128.45	83.05	38.00	38.00	121.15	91.36	584.06	533.42
19042548398	SMP	1	128.38	83.04	37.00	38.00	121.20	91.37	582.40	533.10
19042550401	SMP	1	128.49	83.02	37.00	38.00	121.20	91.31	582.99	533.33
19042552400	SMP	1	128.44	82.97	37.00	38.00	121.24	91.26	581.94	533.72
19042554403	SMP	1	128.46	82.98	37.00	38.00	121.23	91.23	581.58	534.72
19042556404	SMP	1	128.45	82.88	38.00	38.00	121.23	91.22	581.58	533.95
19042558405	SMP	1	128.43	82.95	38.00	38.00	121.25	91.16	580.64	535.53
