## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Safonov_gr3_Psy-eye_data.idf
## Date:	21.04.2012 10:35:35
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	34754
## Reversed:	none
## [Run]
## Subject:	Safonov_gr3_Psy
## Description:	Run17
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
12111836423	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
12111837159	SMP	1	93.63	80.00	41.00	42.00	82.09	87.01	634.54	636.67
12111839157	SMP	1	93.69	80.26	41.00	42.00	82.09	87.10	635.69	644.65
12111841159	SMP	1	93.94	80.41	41.00	41.00	82.10	87.12	643.77	650.44
12111843161	SMP	1	93.94	80.50	41.00	43.00	82.13	87.24	645.07	651.48
12111845157	SMP	1	94.30	80.81	42.00	42.00	82.14	87.34	658.69	657.17
12111847162	SMP	1	94.41	81.17	41.00	41.00	82.15	87.40	664.18	673.61
12111849163	SMP	1	94.25	81.44	40.00	42.00	82.14	87.39	662.06	687.32
12111851160	SMP	1	94.08	81.43	40.00	42.00	82.16	87.33	656.02	690.60
12111853163	SMP	1	93.91	81.39	41.00	41.00	82.15	87.31	648.39	691.23
12111855164	SMP	1	93.81	81.33	41.00	42.00	82.11	87.21	644.67	692.53
12111857168	SMP	1	93.82	81.16	41.00	41.00	82.10	87.19	643.49	690.22
12111859165	SMP	1	93.67	80.81	45.00	42.00	82.09	87.16	639.90	673.87
12111861165	SMP	1	93.75	80.75	40.00	42.00	82.08	87.16	639.88	670.36
12111863167	SMP	1	93.81	80.64	42.00	41.00	82.06	87.16	641.30	666.58
12111865165	SMP	1	93.76	80.70	41.00	41.00	82.05	87.15	641.70	666.73
12111867168	SMP	1	93.73	80.78	41.00	41.00	82.05	87.17	641.80	667.47
12111869168	SMP	1	93.76	80.76	41.00	40.00	82.04	87.14	642.23	668.35
12111871168	SMP	1	93.66	80.83	41.00	41.00	82.05	87.17	640.48	670.31
12111873168	SMP	1	93.64	80.85	40.00	41.00	82.03	87.20	639.19	671.25
12111875168	SMP	1	93.63	80.83	40.00	42.00	82.03	87.18	638.24	671.57
12111877170	SMP	1	93.62	80.87	41.00	41.00	82.03	87.23	637.39	671.57
12111879172	SMP	1	93.58	80.93	42.00	42.00	82.02	87.22	636.50	672.57
12111881173	SMP	1	93.61	80.91	41.00	41.00	82.02	87.24	636.38	672.87
12111883171	SMP	1	93.58	80.94	40.00	42.00	82.02	87.22	636.00	673.92
12111885171	SMP	1	93.56	80.90	41.00	41.00	82.03	87.23	635.26	673.71
12111887176	SMP	1	93.46	80.90	42.00	42.00	82.01	87.24	633.36	673.06
12111889177	SMP	1	93.54	80.96	41.00	41.00	82.02	87.20	633.27	674.57
12111891180	SMP	1	93.55	81.09	42.00	41.00	82.01	87.23	633.86	678.07
12111893178	SMP	1	93.53	81.02	41.00	41.00	82.00	87.24	634.29	678.34
12111895177	SMP	1	93.45	81.11	41.00	43.00	82.00	87.26	633.28	680.15
12111897182	SMP	1	93.47	81.00	40.00	41.00	81.99	87.27	632.60	678.52
12111899178	SMP	1	93.41	81.03	41.00	41.00	81.98	87.29	631.22	677.42
12111901180	SMP	1	93.42	81.08	42.00	41.00	81.96	87.28	630.97	678.01
12111903181	SMP	1	93.44	80.99	41.00	40.00	81.94	87.28	631.59	676.56
12111905180	SMP	1	93.40	80.99	40.00	42.00	81.95	87.30	631.29	675.49
12111907185	SMP	1	93.46	81.16	41.00	41.00	81.93	87.29	632.67	678.46
12111909186	SMP	1	93.40	80.99	41.00	42.00	81.93	87.29	632.45	676.14
12111911189	SMP	1	93.36	80.91	42.00	41.00	81.91	87.23	631.80	675.17
12111913184	SMP	1	93.36	81.02	42.00	42.00	81.90	87.25	631.54	676.18
12111915181	SMP	1	93.37	80.92	41.00	41.00	81.90	87.20	631.47	675.54
12111917185	SMP	1	93.39	80.92	41.00	41.00	81.91	87.18	631.85	675.91
12111919185	SMP	1	93.32	80.97	41.00	41.00	81.87	87.16	631.65	677.38
12111921185	SMP	1	93.28	80.85	42.00	42.00	81.87	87.10	630.70	677.15
12111923184	SMP	1	93.26	80.73	42.00	41.00	81.86	87.02	629.56	676.47
12111925189	SMP	1	93.28	80.79	42.00	41.00	81.85	87.02	629.40	676.80
12111927190	SMP	1	93.04	80.69	41.00	41.00	81.85	86.93	623.87	677.12
12111929191	SMP	1	93.23	80.70	41.00	42.00	81.86	86.88	626.46	678.44
12111931189	SMP	1	93.34	80.64	43.00	42.00	81.87	86.83	629.14	679.27
12111933189	SMP	1	93.24	80.59	42.00	42.00	81.85	86.73	628.81	680.64
12111935191	SMP	1	93.27	80.52	41.00	41.00	81.84	86.65	629.78	681.49
12111937194	SMP	1	93.30	80.47	41.00	41.00	81.86	86.64	630.20	681.26
12111939194	SMP	1	93.31	80.48	41.00	41.00	81.84	86.56	630.76	682.68
12111941196	SMP	1	93.32	80.38	41.00	43.00	81.87	86.45	631.09	683.74
12111943196	SMP	1	93.30	80.37	41.00	41.00	81.85	86.43	631.19	684.78
12111945192	SMP	1	93.32	80.37	41.00	42.00	81.88	86.37	631.03	686.48
