## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Zalibin-eye_data.idf
## Date:	20.04.2012 13:49:21
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	56883
## Reversed:	none
## [Run]
## Subject:	Zalibin
## Description:	Run11
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
25707617141	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
25707617512	SMP	1	132.12	50.48	39.00	38.00	128.50	58.16	561.73	485.08
25707619511	SMP	1	131.89	50.53	40.00	41.00	128.46	58.25	554.56	483.30
25707621509	SMP	1	131.89	50.56	38.00	38.00	128.44	58.29	554.60	482.11
25707623509	SMP	1	131.76	50.66	39.00	39.00	128.41	58.31	551.37	482.92
25707625513	SMP	1	131.91	50.54	39.00	40.00	128.43	58.31	553.45	481.42
25707627513	SMP	1	131.83	50.56	38.00	37.00	128.41	58.33	552.94	480.31
25707629513	SMP	1	131.79	50.66	39.00	38.00	128.43	58.35	551.36	481.10
25707631514	SMP	1	131.91	50.74	40.00	40.00	128.40	58.39	554.86	482.94
25707633515	SMP	1	131.82	50.80	40.00	39.00	128.40	58.39	553.45	485.57
25707635515	SMP	1	131.80	50.56	39.00	38.00	128.37	58.39	553.23	479.76
25707637519	SMP	1	131.75	50.65	39.00	39.00	128.36	58.41	552.31	479.86
25707639519	SMP	1	131.78	50.73	39.00	39.00	128.30	58.44	553.37	480.72
25707641520	SMP	1	131.72	50.69	38.00	40.00	128.23	58.45	554.93	479.94
25707643517	SMP	1	131.69	50.64	38.00	40.00	128.16	58.44	557.00	479.46
25707645520	SMP	1	131.71	51.03	39.00	38.00	128.10	58.49	560.98	492.91
25707647521	SMP	1	131.65	50.79	39.00	38.00	128.05	58.49	562.23	483.30
25707649520	SMP	1	131.69	50.81	39.00	38.00	128.06	58.49	563.82	484.65
