## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Budanov_gr3_Psy-eye_data.idf
## Date:	21.04.2012 10:01:01
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	32688
## Reversed:	none
## [Run]
## Subject:	Budanov_gr3_Psy
## Description:	Run15
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
10031443039	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
10031444828	SMP	1	123.53	71.56	44.00	48.00	114.24	87.52	570.16	314.54
10031446828	SMP	1	123.25	73.04	42.00	43.00	114.23	87.52	566.13	381.36
10031448827	SMP	1	123.36	73.33	42.00	40.00	114.21	87.58	567.76	388.60
10031450832	SMP	1	123.31	73.37	44.00	41.00	114.19	87.61	566.97	390.48
10031452833	SMP	1	123.40	73.96	41.00	40.00	114.14	87.66	569.42	414.98
10031454835	SMP	1	123.33	74.00	42.00	41.00	114.16	87.72	569.61	414.56
10031456832	SMP	1	123.30	74.18	42.00	40.00	114.09	87.72	570.37	418.45
10031458831	SMP	1	123.33	74.47	41.00	40.00	114.08	87.77	571.48	428.88
10031460838	SMP	1	123.25	74.58	42.00	40.00	114.07	87.82	570.85	432.58
10031462836	SMP	1	123.21	74.86	41.00	40.00	114.05	87.84	570.40	442.09
10031464838	SMP	1	123.15	74.87	42.00	40.00	114.04	87.83	569.10	444.80
10031466835	SMP	1	123.11	75.04	42.00	40.00	114.03	87.88	567.78	448.62
10031468836	SMP	1	123.10	75.30	41.00	41.00	114.01	87.87	567.24	459.08
10031470838	SMP	1	123.01	75.33	42.00	40.00	114.02	87.88	565.43	461.71
10031472838	SMP	1	122.93	75.43	42.00	40.00	114.00	87.94	563.18	463.52
10031474838	SMP	1	122.93	75.53	43.00	40.00	114.01	87.94	561.69	466.40
10031476838	SMP	1	122.82	75.69	42.00	40.00	113.99	87.97	559.49	470.81
10031478839	SMP	1	122.78	75.75	42.00	40.00	113.99	87.96	557.43	474.59
10031480844	SMP	1	122.72	75.88	42.00	40.00	113.97	88.04	555.56	477.13
10031482842	SMP	1	122.73	75.95	42.00	40.00	113.96	88.04	554.88	479.86
10031484840	SMP	1	122.68	75.99	42.00	39.00	113.94	88.07	554.13	481.58
10031486842	SMP	1	122.61	76.09	42.00	41.00	113.93	88.09	552.91	483.56
10031488840	SMP	1	122.54	76.21	42.00	41.00	113.91	88.14	551.31	486.09
10031490845	SMP	1	122.57	76.27	42.00	39.00	113.89	88.17	550.84	488.15
10031492845	SMP	1	122.52	76.32	42.00	40.00	113.87	88.18	550.34	489.98
