## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\destainovich-eye_data.idf
## Date:	20.04.2012 13:15:21
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	87654
## Reversed:	none
## [Run]
## Subject:	destainovich
## Description:	Run9
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
23568164505	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
23568164687	SMP	1	108.69	88.48	45.00	46.00	100.55	93.93	646.16	601.95
23568166686	SMP	1	108.53	88.01	44.00	46.00	100.57	93.91	644.03	574.85
23568168686	SMP	1	108.59	88.50	44.00	44.00	100.60	93.92	643.34	601.30
23568170688	SMP	1	109.24	87.93	45.00	46.00	100.58	93.89	672.54	575.02
23568172692	SMP	1	108.62	88.51	44.00	46.00	100.60	93.92	642.84	601.38
23568174693	SMP	1	108.61	88.44	45.00	43.00	100.60	93.92	643.24	599.68
23568176690	SMP	1	108.53	88.45	44.00	45.00	100.59	93.90	641.99	599.10
23568178690	SMP	1	109.13	88.42	45.00	44.00	100.59	93.91	665.79	599.57
23568180692	SMP	1	108.59	88.52	44.00	45.00	100.58	93.89	642.20	601.04
23568182695	SMP	1	108.73	88.47	44.00	44.00	100.60	93.89	645.80	601.59
23568184695	SMP	1	108.69	88.42	44.00	46.00	100.58	93.90	646.87	600.78
23568186693	SMP	1	108.74	88.38	46.00	44.00	100.58	93.90	648.12	598.89
23568188696	SMP	1	108.73	88.40	44.00	46.00	100.59	93.90	648.93	597.80
23568190696	SMP	1	108.67	88.40	44.00	44.00	100.57	93.88	648.49	597.69
23568192698	SMP	1	108.72	88.44	44.00	45.00	100.58	93.89	648.62	598.51
23568194698	SMP	1	108.72	88.38	44.00	46.00	100.58	93.87	648.63	598.80
23568196699	SMP	1	108.64	87.89	44.00	46.00	100.55	93.83	648.12	573.47
