## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Atrashenko_-eye_data.idf
## Date:	20.04.2012 11:28:22
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	54509
## Reversed:	none
## [Run]
## Subject:	Atrashenko_
## Description:	Run3
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
17130988067	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
17130988281	SMP	1	95.46	83.60	38.00	37.00	92.97	92.40	377.62	730.13
17130990283	SMP	1	95.56	83.62	38.00	37.00	92.98	92.38	380.22	731.47
17130992281	SMP	1	95.61	83.54	38.00	37.00	92.99	92.37	383.19	730.94
17130994284	SMP	1	95.64	83.48	38.00	37.00	93.00	92.34	384.88	730.17
17130996289	SMP	1	95.70	83.48	38.00	37.00	93.01	92.33	386.88	729.40
17130998284	SMP	1	95.66	83.46	38.00	37.00	93.03	92.32	386.75	728.81
17131000285	SMP	1	95.73	83.46	38.00	37.00	93.05	92.32	387.51	728.58
17131002284	SMP	1	95.79	83.33	38.00	37.00	93.08	92.29	388.57	726.59
17131004284	SMP	1	95.82	83.41	38.00	38.00	93.11	92.27	389.08	727.13
17131006291	SMP	1	95.96	83.40	39.00	37.00	93.16	92.25	391.37	727.78
17131008291	SMP	1	96.05	83.38	39.00	37.00	93.19	92.23	394.22	728.28
17131010290	SMP	1	96.05	83.27	38.00	37.00	93.25	92.22	394.41	726.93
17131012290	SMP	1	96.16	83.29	38.00	37.00	93.33	92.18	395.22	726.80
17131014290	SMP	1	96.15	83.31	38.00	37.00	93.41	92.18	393.73	727.01
17131016293	SMP	1	96.25	83.27	38.00	37.00	93.49	92.16	392.82	726.89
17131018295	SMP	1	96.35	83.36	37.00	37.00	93.58	92.15	392.68	728.90
17131020294	SMP	1	96.41	83.36	37.00	37.00	93.66	92.15	392.17	730.20
17131022292	SMP	1	96.46	83.32	38.00	37.00	93.73	92.13	391.63	730.78
17131024292	SMP	1	96.55	83.39	37.00	38.00	93.81	92.15	391.44	731.85
17131026298	SMP	1	96.64	83.35	38.00	37.00	93.85	92.17	392.11	731.33
17131028295	SMP	1	96.66	83.23	38.00	37.00	93.91	92.17	391.99	728.18
17131030298	SMP	1	96.75	83.29	37.00	36.00	93.95	92.20	392.92	726.84
17131032299	SMP	1	96.88	83.27	38.00	37.00	93.96	92.19	396.01	725.71
17131034295	SMP	1	96.81	83.27	38.00	37.00	94.01	92.20	395.31	725.05
17131036299	SMP	1	97.04	83.30	38.00	37.00	94.05	92.20	399.61	725.36
17131038300	SMP	1	97.11	83.32	38.00	37.00	94.06	92.22	403.13	725.71
17131040299	SMP	1	97.14	83.40	38.00	37.00	94.11	92.21	404.33	727.61
17131042301	SMP	1	97.21	83.32	38.00	37.00	94.14	92.21	405.64	727.62
17131044299	SMP	1	97.26	83.28	38.00	38.00	94.18	92.22	406.48	726.21
17131046304	SMP	1	97.28	83.33	38.00	37.00	94.23	92.24	406.41	726.00
17131048306	SMP	1	97.32	83.47	37.00	37.00	94.29	92.23	406.00	729.00
17131050305	SMP	1	97.31	83.37	38.00	37.00	94.34	92.26	404.39	727.77
17131052304	SMP	1	97.36	83.46	37.00	37.00	94.39	92.26	403.29	729.65
17131054304	SMP	1	97.36	83.36	38.00	37.00	94.42	92.28	402.09	727.78
17131056308	SMP	1	97.44	83.44	37.00	37.00	94.46	92.29	401.96	727.93
17131058309	SMP	1	97.47	83.53	37.00	37.00	94.48	92.27	402.38	730.74
17131060307	SMP	1	97.44	83.46	37.00	37.00	94.52	92.30	401.53	730.13
17131062308	SMP	1	97.46	83.48	37.00	37.00	94.55	92.30	400.76	730.62
17131064309	SMP	1	97.44	83.44	38.00	37.00	94.54	92.33	399.88	729.10
17131066314	SMP	1	97.45	83.49	37.00	37.00	94.57	92.33	399.04	728.83
17131068313	SMP	1	97.44	83.61	37.00	37.00	94.55	92.32	398.72	732.02
17131070311	SMP	1	97.40	83.38	38.00	37.00	94.56	92.35	397.44	726.52
17131072311	SMP	1	97.45	83.49	37.00	37.00	94.56	92.35	397.62	728.04
17131074310	SMP	1	97.48	83.50	37.00	36.00	94.55	92.36	398.73	727.61
17131076312	SMP	1	97.47	83.50	37.00	37.00	94.55	92.35	399.27	727.81
17131078314	SMP	1	97.48	83.51	37.00	37.00	94.52	92.35	400.49	728.67
17131080314	SMP	1	97.51	83.50	37.00	37.00	94.49	92.36	402.49	728.62
17131082314	SMP	1	97.50	83.51	37.00	36.00	94.46	92.37	404.01	728.36
17131084314	SMP	1	97.48	83.56	37.00	37.00	94.46	92.35	404.78	729.41
17131086319	SMP	1	97.41	83.49	37.00	36.00	94.43	92.38	404.23	728.46
17131088319	SMP	1	97.40	83.38	38.00	37.00	94.39	92.38	403.95	725.07
17131090320	SMP	1	97.42	83.62	37.00	37.00	94.37	92.37	404.57	729.93
17131092320	SMP	1	97.42	83.54	37.00	36.00	94.35	92.38	405.66	728.83
17131094319	SMP	1	97.35	83.49	37.00	37.00	94.31	92.40	405.96	727.67
17131096322	SMP	1	97.32	83.48	37.00	37.00	94.29	92.39	405.84	727.11
17131098323	SMP	1	97.28	83.43	38.00	37.00	94.27	92.38	405.08	725.41
17131100323	SMP	1	97.31	83.45	38.00	37.00	94.24	92.40	405.56	724.42
17131102322	SMP	1	97.31	83.54	37.00	37.00	94.21	92.41	406.77	725.54
17131104324	SMP	1	97.23	83.59	37.00	37.00	94.18	92.41	406.63	727.60
17131106325	SMP	1	97.26	83.58	37.00	36.00	94.19	92.41	406.95	728.86
17131108331	SMP	1	97.25	83.49	38.00	36.00	94.18	92.42	406.91	727.43
17131110324	SMP	1	97.32	83.64	37.00	37.00	94.17	92.43	408.55	729.01
17131112327	SMP	1	97.21	83.58	37.00	37.00	94.16	92.44	407.79	728.52
17131114325	SMP	1	97.28	83.57	37.00	37.00	94.14	92.44	408.98	728.08
17131116328	SMP	1	97.21	83.49	38.00	37.00	94.14	92.46	408.36	725.96
17131118327	SMP	1	97.20	83.45	38.00	37.00	94.14	92.46	407.32	723.19
17131120328	SMP	1	97.21	83.65	37.00	37.00	94.14	92.46	407.21	726.80
17131122328	SMP	1	97.33	83.66	37.00	37.00	94.13	92.46	409.54	728.81
17131124331	SMP	1	97.25	83.63	37.00	36.00	94.15	92.46	409.28	729.47
17131126332	SMP	1	97.17	83.64	37.00	37.00	94.14	92.45	407.71	730.21
17131128334	SMP	1	97.26	83.65	37.00	37.00	94.14	92.47	408.43	729.99
17131130335	SMP	1	97.29	83.65	37.00	37.00	94.15	92.48	409.04	729.78
17131132335	SMP	1	97.20	83.57	38.00	37.00	94.16	92.50	407.75	727.75
17131134331	SMP	1	97.27	83.60	38.00	37.00	94.17	92.49	408.13	727.01
17131136338	SMP	1	97.24	83.62	37.00	37.00	94.20	92.51	407.07	726.55
17131138337	SMP	1	97.31	83.71	38.00	36.00	94.22	92.51	407.23	727.96
17131140337	SMP	1	97.39	83.61	38.00	36.00	94.25	92.55	408.51	726.68
17131142335	SMP	1	97.40	83.74	37.00	37.00	94.31	92.53	408.57	728.77
17131144339	SMP	1	97.38	83.72	37.00	36.00	94.34	92.56	407.55	728.93
17131146342	SMP	1	97.44	83.75	37.00	36.00	94.39	92.59	406.83	729.13
17131148341	SMP	1	97.46	83.71	38.00	36.00	94.44	92.57	405.58	729.01
17131150339	SMP	1	97.43	83.79	37.00	36.00	94.52	92.60	402.77	729.36
17131152342	SMP	1	97.53	83.75	37.00	36.00	94.56	92.62	402.26	728.85
