## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Prokopenko_gr3_psy-eye_data.idf
## Date:	21.04.2012 09:37:59
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	44286
## Reversed:	none
## [Run]
## Subject:	Prokopenko_gr3_psy
## Description:	Run14
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
8650263835	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
8650265597	SMP	1	127.28	79.31	33.00	36.00	122.27	94.51	493.82	817.56
8650267598	SMP	1	127.44	79.25	35.00	36.00	122.32	94.52	494.60	816.35
8650269599	SMP	1	127.41	79.23	33.00	36.00	122.34	94.48	494.14	815.87
8650271603	SMP	1	127.37	79.15	33.00	36.00	122.38	94.42	492.71	815.15
8650273603	SMP	1	127.54	79.11	34.00	37.00	122.41	94.36	494.54	815.04
8650275599	SMP	1	127.46	78.84	34.00	37.00	122.46	94.35	492.67	808.62
8650277601	SMP	1	127.37	78.80	32.00	37.00	122.47	94.32	489.44	805.43
8650279599	SMP	1	127.58	78.81	34.00	37.00	122.50	94.25	492.48	805.99
8650281604	SMP	1	127.52	78.75	34.00	37.00	122.52	94.23	491.13	805.41
8650283604	SMP	1	127.69	78.59	34.00	36.00	122.56	94.18	494.13	803.82
8650285604	SMP	1	127.64	78.64	35.00	37.00	122.58	94.12	494.21	804.50
8650287604	SMP	1	127.64	78.47	34.00	37.00	122.61	94.08	493.52	802.33
8650289606	SMP	1	127.59	78.11	34.00	37.00	122.64	94.00	491.45	791.72
8650291611	SMP	1	128.01	78.45	34.00	36.00	122.67	93.98	503.66	802.17
8650293610	SMP	1	127.76	78.25	35.00	37.00	122.72	93.95	492.68	797.59
8650295606	SMP	1	127.78	78.03	35.00	37.00	122.86	93.88	489.63	792.33
8650297607	SMP	1	127.71	78.06	33.00	38.00	123.07	93.75	477.23	794.99
8650299607	SMP	1	127.84	77.81	35.00	38.00	123.22	93.62	474.61	792.32
8650301613	SMP	1	128.29	77.75	36.00	37.00	123.32	93.55	487.29	791.95
8650303612	SMP	1	128.19	77.97	34.00	38.00	123.36	93.49	483.14	798.82
8650305613	SMP	1	128.18	77.58	35.00	39.00	123.40	93.40	482.08	792.43
