## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Yashin-eye_data.idf
## Date:	28.04.2012 09:13:55
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	30502
## Reversed:	none
## [Run]
## Subject:	Yashin
## Description:	Run26
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(66;962)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	L Event Info
7561604220	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
7561605598	SMP	1	155.60	93.92	28.00	28.00	150.67	106.41	546.62	539.86	-
7561607598	SMP	1	155.57	93.91	29.00	28.00	150.62	106.24	546.96	543.19	-
7561609598	SMP	1	155.53	93.88	28.00	28.00	150.64	106.22	546.29	544.00	Fixation
7561611596	SMP	1	155.54	93.96	29.00	28.00	150.63	106.36	546.20	543.97	Fixation
7561613599	SMP	1	155.47	93.92	29.00	28.00	150.63	106.38	544.50	542.44	Fixation
7561615600	SMP	1	155.51	93.96	29.00	28.00	150.59	106.37	544.89	542.04	Fixation
7561617601	SMP	1	155.53	93.95	29.00	28.00	150.62	106.38	545.42	541.59	Fixation
7561619600	SMP	1	155.50	93.98	29.00	28.00	150.57	106.22	546.09	545.92	Fixation
7561621598	SMP	1	155.47	93.97	28.00	28.00	150.58	106.39	545.99	543.47	Fixation
7561623602	SMP	1	155.45	93.96	28.00	28.00	150.57	106.21	545.23	547.26	Fixation
7561625601	SMP	1	155.44	93.94	28.00	28.00	150.58	106.37	544.42	543.59	Fixation
7561627603	SMP	1	155.39	93.97	28.00	28.00	150.57	106.43	543.08	541.26	Fixation
7561629602	SMP	1	155.41	93.96	28.00	28.00	150.56	106.40	542.73	540.81	Fixation
7561631605	SMP	1	155.48	94.04	28.00	28.00	150.55	106.40	544.24	541.92	Fixation
7561633607	SMP	1	155.42	94.02	28.00	28.00	150.54	106.40	544.47	542.70	Fixation
7561635607	SMP	1	155.35	94.04	28.00	28.00	150.55	106.38	543.06	543.90	Fixation
7561637608	SMP	1	155.35	93.98	28.00	28.00	150.51	106.42	542.68	542.74	Fixation
7561639608	SMP	1	155.38	93.99	28.00	28.00	150.55	106.43	541.97	541.65	Fixation
7561641607	SMP	1	155.34	94.00	28.00	28.00	150.48	106.43	542.42	541.14	Fixation
7561643610	SMP	1	155.31	93.95	29.00	28.00	150.52	106.42	541.79	540.14	Fixation
