## [iView]
## Converted from:	D:\Yarbus1.idf
## Date:	08.02.2014 09:55:18
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3596                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SBJ1 _______                                                                                                                                                                                                                                               
## Description:	kolichestvo kartin                                                                                                                                                                                                                                              
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14587966033	SMP	1	0.0000	0.0000	669.4713	420.6309	0.0000	0.0000	11.8133	11.8133	0.0000	0.0000	0.0000	0.0000	664.4624	426.3020	670.4302	426.3932	710.4996	453.6091	710.4996	453.6091	0	16894	0	0	2	0.0000	0.0000	0.0000	6.4463	20.1107	596.4986	0.0000	0.0000	0.0000	0.0429	0.2733	-0.9610	-1	
14587980645	MSG	1	# UTC: 1391853318 10
14618129999	MSG	1	# Message: 70.jpg
14618140145	SMP	1	418.9611	451.0684	685.9127	430.7426	10.4622	10.4622	10.4262	10.4262	417.7817	456.2947	423.3806	456.2392	681.9311	436.3750	688.1499	436.3919	630.3690	524.0588	630.3690	524.0588	0	10875	0	0	3	-53.1245	13.4899	614.9128	10.4585	17.5524	589.7171	0.0809	0.2502	-0.9648	-0.0175	0.2464	-0.9690	-1	
14618151039	SMP	1	419.0472	451.1921	686.0470	430.8089	10.5043	10.5043	10.3462	10.3462	417.8354	456.3530	423.4455	456.4098	681.9478	436.4421	688.1873	436.4576	631.4195	523.8349	631.4195	523.8349	0	2260	0	0	3	-53.1047	13.4608	614.8495	10.4552	17.5210	589.1787	0.0828	0.2498	-0.9648	-0.0098	0.2463	-0.9691	-1	
14618153625	SMP	1	419.0888	451.2833	686.0479	430.8830	10.5400	10.5400	10.7878	10.7878	417.8632	456.3793	423.5118	456.4667	681.9946	436.5850	688.1997	436.5105	632.4093	524.3144	632.4093	524.3144	0	1405	0	0	3	-53.0885	13.4495	614.7934	10.4536	17.4841	588.7008	0.0824	0.2473	-0.9654	-0.0119	0.2475	-0.9688	-1	
14618161964	SMP	1	419.0889	451.3562	686.1787	430.9487	10.6079	10.6079	10.5834	10.5834	417.8874	456.4265	423.5394	456.4938	682.0299	436.6528	688.2235	436.6070	633.9003	524.7477	633.9003	524.7477	0	1576	0	0	3	-53.0780	13.4394	614.7435	10.4529	17.4525	588.2765	0.0805	0.2455	-0.9660	-0.0046	0.2484	-0.9686	-1	
14618170209	SMP	1	419.1690	451.2937	686.1476	430.9702	10.4575	10.4575	10.5362	10.5362	417.9072	456.4657	423.5390	456.5521	682.0260	436.9289	688.2100	436.9076	635.5177	522.4404	635.5177	522.4404	0	1589	0	0	3	-53.0718	13.4266	614.6993	10.4541	17.3911	588.4605	0.0855	0.2511	-0.9642	-0.0061	0.2642	-0.9644	-1	
14618178569	SMP	1	419.1882	451.3968	686.1458	430.9684	10.4862	10.4862	10.5787	10.5787	417.9045	456.4962	423.5431	456.5632	682.0175	436.9692	688.2040	436.9599	636.9026	520.9472	636.9026	520.9472	0	1355	0	0	3	-53.0682	13.4207	614.6601	10.4553	17.3852	588.6239	0.0867	0.2469	-0.9651	-0.0057	0.2672	-0.9636	-1	
14618186937	SMP	1	419.1889	451.4677	686.0768	430.9716	10.4532	10.4532	10.4808	10.4808	417.8941	456.5236	423.5319	456.5895	682.0166	436.9921	688.1833	436.9889	638.1252	519.3657	638.1252	519.3657	0	1494	0	0	3	-53.0678	13.4135	614.6252	10.4554	17.3835	588.7690	0.0875	0.2447	-0.9656	-0.0099	0.2685	-0.9632	-1	
14618195329	SMP	1	419.1650	451.4360	686.0767	430.9667	10.5487	10.5487	10.5219	10.5219	417.8836	456.5347	423.5193	456.5991	681.9951	436.9758	688.1812	436.9964	639.3981	517.4861	639.3981	517.4861	0	3775	0	0	3	-53.0679	13.4103	614.5943	10.4550	17.3883	588.8978	0.0867	0.2468	-0.9652	-0.0090	0.2686	-0.9632	-1	
14618203674	SMP	1	419.1206	451.4698	685.9598	431.0780	10.3957	10.3957	10.4929	10.4929	417.8894	456.5511	423.5170	456.6016	681.9835	436.9785	688.1629	436.9877	639.6236	517.7770	639.6236	517.7770	0	1615	0	0	3	-53.0651	13.4074	614.5668	10.4535	17.3924	589.0122	0.0835	0.2456	-0.9658	-0.0164	0.2618	-0.9650	-1	
14618212002	SMP	1	419.1888	451.4709	686.0059	430.9708	10.4068	10.4068	10.4235	10.4235	417.8922	456.5573	423.5314	456.6137	681.9848	436.9876	688.1628	436.9954	641.1248	516.2487	641.1248	516.2487	0	1581	0	0	3	-53.0610	13.4047	614.5425	10.4555	17.3934	589.1137	0.0876	0.2460	-0.9653	-0.0131	0.2687	-0.9631	-1	
14618220390	SMP	1	419.1896	451.4705	685.9714	431.0212	10.4858	10.4858	10.5538	10.5538	417.8898	456.5661	423.5226	456.6112	681.9754	436.9762	688.1574	436.9903	641.8805	515.4831	641.8805	515.4831	0	1550	0	0	3	-53.0604	13.4034	614.5208	10.4554	17.3980	589.2039	0.0881	0.2462	-0.9652	-0.0150	0.2653	-0.9640	-1	
14618228770	SMP	1	419.1881	451.4687	685.9484	430.9899	10.5412	10.5412	10.7394	10.7394	417.8945	456.5471	423.5300	456.5971	681.9633	436.9596	688.1442	436.9635	642.2876	514.3332	642.2876	514.3332	0	1393	0	0	3	-53.0573	13.4070	614.5016	10.4538	17.4054	589.2839	0.0875	0.2454	-0.9655	-0.0157	0.2659	-0.9639	-1	
14618237053	SMP	1	419.1209	451.4684	685.9497	430.9243	10.5308	10.5308	10.7027	10.7027	417.8672	456.5109	423.5114	456.5789	681.9487	436.9217	688.1253	436.9285	642.0518	513.1359	642.0518	513.1359	0	1600	0	0	3	-53.0614	13.4132	614.4845	10.4512	17.4160	589.3549	0.0845	0.2440	-0.9661	-0.0144	0.2677	-0.9634	-1	
14618245377	SMP	1	418.9793	451.3992	685.8360	431.0402	10.4946	10.4946	10.7760	10.7760	417.8418	456.4788	423.4818	456.5611	681.9179	436.6936	688.1079	436.8389	640.7496	514.0420	640.7496	514.0420	0	1441	0	0	3	-53.0668	13.4189	614.4693	10.4368	17.4381	588.8572	0.0766	0.2462	-0.9662	-0.0210	0.2510	-0.9677	-1	
14618253767	SMP	1	418.9979	451.3528	685.7459	430.9483	10.4763	10.4763	10.7044	10.7044	417.7909	456.4225	423.4218	456.5036	681.8949	436.6055	688.0826	436.5550	639.3397	515.1422	639.3397	515.1422	0	1863	0	0	3	-53.0790	13.4324	614.4558	10.4333	17.4847	588.9761	0.0817	0.2457	-0.9659	-0.0258	0.2454	-0.9691	-1	
14618262124	SMP	1	418.8481	451.3351	685.7415	430.9452	10.4499	10.4499	10.8291	10.8291	417.7609	456.3934	423.3497	456.4399	681.8585	436.4863	688.0437	436.4990	637.2712	519.1362	637.2712	519.1362	0	1642	0	0	3	-53.1385	13.4556	615.0026	10.4264	17.5082	589.0816	0.0748	0.2444	-0.9668	-0.0235	0.2404	-0.9704	-1	
14618270413	SMP	1	418.8672	451.1824	685.5986	430.8341	10.4416	10.4416	10.8405	10.8405	417.7277	456.3592	423.1537	456.4256	681.8385	436.4254	688.0090	436.4413	635.5137	519.4611	635.5137	519.4611	0	1553	0	0	3	-53.2561	13.4844	616.0468	10.4218	17.5247	589.1752	0.0839	0.2514	-0.9643	-0.0318	0.2433	-0.9694	-1	
14618278731	SMP	1	418.7981	451.1789	685.6095	430.6914	10.5226	10.5226	10.7839	10.7839	417.6973	456.3087	423.1227	456.3831	681.8285	436.3656	687.9775	436.3516	633.8544	520.4708	633.8544	520.4708	0	1469	0	0	3	-53.3437	13.5159	616.9737	10.4184	17.5445	589.2584	0.0811	0.2495	-0.9650	-0.0294	0.2474	-0.9685	-1	
14618287634	SMP	1	418.7297	451.1118	685.5558	430.6517	10.6114	10.6114	10.9025	10.9025	417.6845	456.3051	423.1475	456.2619	681.8106	436.3226	687.9712	436.3142	631.3864	521.6837	631.3864	521.6837	0	3592	0	0	3	-53.4135	13.5491	617.7967	10.4169	17.5561	589.3322	0.0758	0.2501	-0.9653	-0.0324	0.2474	-0.9684	-1	
14618296009	SMP	1	418.7248	451.1110	685.6144	430.5890	10.6137	10.6137	10.9738	10.9738	417.6654	456.2787	423.1326	456.2098	681.7827	436.2768	687.9677	436.2804	630.4152	522.3837	630.4152	522.3837	0	10819	0	0	3	-53.4808	13.5747	618.5273	10.4144	17.5672	589.3977	0.0764	0.2484	-0.9656	-0.0270	0.2489	-0.9682	-1	
14618306862	SMP	1	418.5476	451.0607	685.5005	430.4429	10.6975	10.6975	10.8828	10.8828	417.1878	456.2492	423.0783	456.1744	681.6871	436.2050	687.8416	436.1978	629.6695	522.9638	629.6695	522.9638	0	5615	0	0	3	-53.3609	13.5354	616.3817	10.3897	17.5869	589.4559	0.0834	0.2485	-0.9650	-0.0271	0.2529	-0.9671	-1	
14618313119	SMP	1	417.5318	450.6422	684.4775	429.9941	10.7233	10.7233	11.0799	11.0799	416.8747	456.1533	422.4993	455.7595	680.9124	435.9826	687.0682	435.9475	619.4505	519.8949	619.4505	519.8949	0	4496	0	0	3	-53.4486	13.5924	616.1529	10.2109	17.6433	589.5075	0.0440	0.2560	-0.9657	-0.0448	0.2649	-0.9632	-1	
14618320509	SMP	1	416.4804	450.1822	683.4737	429.4984	10.5276	10.5276	11.1544	11.1544	416.3087	455.7101	421.7120	455.5639	680.0560	435.3654	686.2280	435.3463	589.9825	517.8118	589.9825	517.8118	0	1519	0	0	3	-53.7404	13.7026	617.6257	10.0148	17.7860	589.5534	0.0179	0.2630	-0.9646	-0.0557	0.2577	-0.9646	-1	
14618328902	SMP	1	416.3610	450.0115	682.7928	428.9933	10.4486	10.4486	10.8090	10.8090	416.0780	455.5337	421.6537	455.4835	679.9249	435.2946	686.0564	435.1965	555.7242	503.7400	555.7242	503.7400	0	1659	0	0	3	-53.7925	13.7380	617.8156	9.9804	17.8128	589.5941	0.0197	0.2652	-0.9640	-0.0938	0.2795	-0.9555	-1	
14618337179	SMP	1	416.4290	450.0848	682.6276	428.9346	10.6289	10.6289	11.0095	11.0095	416.0739	455.5453	421.6470	455.5048	679.9458	435.2884	686.0643	435.1891	545.2112	496.2624	545.2112	496.2624	0	1654	0	0	3	-53.8084	13.7377	617.9841	9.9843	17.8155	589.6302	0.0248	0.2626	-0.9646	-0.1068	0.2821	-0.9534	-1	
14618345500	SMP	1	416.4297	450.0841	682.7660	428.9412	10.5858	10.5858	10.9163	10.9163	416.0651	455.5821	421.6378	455.5201	679.9633	435.3379	686.1042	435.2428	545.1441	488.4153	545.1441	488.4153	0	1602	0	0	3	-53.8237	13.7347	618.1338	9.9915	17.8045	589.6623	0.0254	0.2640	-0.9642	-0.0990	0.2850	-0.9534	-1	
