## [iView]
## Converted from:	D:\Yarbus2.idf
## Date:	08.02.2014 09:47:06
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3598                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject: SUBJ2                                                                                                                                                                                                                                              
## Description:	skolko ne bil doma                                                                                                                                                                                                                                              
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14096545360	SMP	1	525.4655	640.8252	779.2053	621.8156	12.4089	12.4089	12.5808	12.5808	524.0245	646.5018	529.0280	646.5823	776.4219	627.5685	781.6719	627.3622	542.0927	490.6468	542.0927	490.6468	0	18413	0	0	3	-29.0556	-34.4416	650.3378	35.2059	-29.2274	643.0630	-0.1566	0.3402	-0.9272	0.0169	0.2865	-0.9579	-1	
14096561793	MSG	1	# UTC: 1391852826 581
14122090779	MSG	1	# Message: 70.jpg
14122093625	SMP	1	538.1893	639.3803	791.9714	624.6087	10.9113	10.9113	11.2957	11.2957	536.9345	645.3852	541.9063	645.3132	789.4270	630.4768	794.3951	630.3349	593.7945	401.1254	593.7945	401.1254	0	2725	0	0	3	-25.9616	-34.4116	655.5819	38.7656	-30.2080	648.1294	0.0061	0.3579	-0.9338	-0.0841	0.3491	-0.9333	-1	
14122102055	SMP	1	538.1967	639.3005	792.1702	624.5896	11.0605	11.0605	11.4847	11.4847	536.9336	645.3457	541.8826	645.2768	789.4194	630.3471	794.4135	630.2993	595.3497	401.8075	595.3497	401.8075	0	3914	0	0	3	-25.9602	-34.3958	655.4671	38.8091	-30.2197	648.8345	0.0074	0.3600	-0.9329	-0.0708	0.3466	-0.9353	-1	
14122110395	SMP	1	538.2408	639.3740	792.1039	624.5162	11.1438	11.1438	11.2226	11.2226	536.9339	645.3415	541.8894	645.2799	789.4444	630.3207	794.4268	630.2772	596.4879	403.0001	596.4879	403.0001	0	1995	0	0	3	-25.9553	-34.3903	655.3651	38.8515	-30.2427	649.4605	0.0106	0.3560	-0.9344	-0.0766	0.3490	-0.9340	-1	
14122118663	SMP	1	538.2955	639.2513	792.1863	624.3666	11.1294	11.1294	11.1870	11.1870	536.9553	645.2792	541.9097	645.2284	789.4796	630.2363	794.7129	630.2112	596.9060	402.7894	596.9060	402.7894	0	1700	0	0	3	-25.9463	-34.3708	655.2746	38.8258	-30.1711	648.3379	0.0129	0.3593	-0.9331	-0.0821	0.3519	-0.9324	-1	
14122127008	SMP	1	538.3276	639.2017	792.2703	624.3582	11.2801	11.2801	11.2614	11.2614	536.9708	645.2617	541.9586	645.2032	789.5161	630.2208	794.7736	630.2068	597.7743	401.7108	597.7743	401.7108	0	1527	0	0	3	-25.9349	-34.3611	655.1943	38.7450	-30.0961	646.7818	0.0128	0.3607	-0.9326	-0.0798	0.3512	-0.9329	-1	
14122135369	SMP	1	538.3379	639.2293	792.3362	624.3302	11.1713	11.1713	11.2535	11.2535	537.0177	645.1969	541.9792	645.1488	789.5883	630.1993	794.8306	630.1837	598.0910	401.8065	598.0910	401.8065	0	1574	0	0	3	-25.9233	-34.3420	655.1231	38.7121	-30.0522	645.9598	0.0113	0.3561	-0.9344	-0.0797	0.3511	-0.9329	-1	
14122143728	SMP	1	538.3977	639.1149	792.4840	624.3131	11.4833	11.4833	11.3880	11.3880	537.0263	645.1483	542.0044	645.1035	789.6146	630.1611	794.8875	630.1512	600.4770	401.8427	600.4770	401.8427	0	1676	0	0	3	-25.9165	-34.3266	655.0598	38.6455	-29.9832	644.6705	0.0143	0.3596	-0.9330	-0.0725	0.3498	-0.9340	-1	
14122152012	SMP	1	538.3773	639.1885	792.3685	624.4783	11.3093	11.3093	11.4230	11.4230	537.0359	645.2032	542.0053	645.1547	789.6348	630.2233	794.8901	630.2060	601.1378	402.5681	601.1378	402.5681	0	1502	0	0	3	-25.9129	-34.3373	655.0037	38.5797	-29.9448	643.5259	0.0125	0.3585	-0.9334	-0.0814	0.3443	-0.9353	-1	
14122160413	SMP	1	538.4624	639.2499	792.4858	624.3619	11.2271	11.2271	11.2300	11.2300	537.0315	645.2127	542.0136	645.1593	789.6492	630.2800	794.9138	630.2367	603.5396	402.5460	603.5396	402.5460	0	1578	0	0	3	-25.9104	-34.3365	654.9538	38.5237	-29.9086	642.5097	0.0186	0.3555	-0.9345	-0.0745	0.3514	-0.9333	-1	
14122168742	SMP	1	538.4054	639.2020	792.3897	624.5471	11.2391	11.2391	11.5332	11.5332	537.0529	645.1901	542.0094	645.1449	789.6777	630.2642	794.9323	630.2273	603.9684	403.9028	603.9684	403.9028	0	1695	0	0	3	-25.9064	-34.3294	654.9095	38.4755	-29.8634	641.6075	0.0138	0.3571	-0.9340	-0.0830	0.3417	-0.9361	-1	
14122177137	SMP	1	538.4691	639.1876	792.5022	624.6022	11.1892	11.1892	11.5575	11.5575	537.0873	645.2168	542.0280	645.1549	790.0005	630.3275	794.9612	630.2613	604.5689	403.5253	604.5689	403.5253	0	1597	0	0	3	-25.8980	-34.3321	654.8703	38.6056	-29.9428	643.0441	0.0164	0.3588	-0.9333	-0.0872	0.3420	-0.9357	-1	
14122185379	SMP	1	538.5263	639.1835	792.4629	624.6092	11.0540	11.0540	11.4595	11.4595	537.1223	645.2469	542.0584	645.1788	790.0281	630.3531	795.0168	630.2883	604.6120	403.9389	604.6120	403.9389	0	1443	0	0	3	-25.8882	-34.3373	654.8354	38.6928	-30.0088	644.3195	0.0181	0.3604	-0.9326	-0.0927	0.3433	-0.9347	-1	
14122193745	SMP	1	538.6941	639.1614	792.6955	624.5302	11.1178	11.1178	11.5066	11.5066	537.1909	645.2234	542.0862	645.1709	790.0794	630.3302	795.0964	630.2966	605.6803	403.7757	605.6803	403.7757	0	1673	0	0	3	-25.8966	-34.3610	655.3643	38.7439	-30.0336	644.8923	0.0266	0.3607	-0.9323	-0.0812	0.3471	-0.9343	-1	
14122202151	SMP	1	538.8710	639.1745	792.8282	624.6010	10.9927	10.9927	11.5095	11.5095	537.2922	645.2257	542.4987	645.1614	790.1430	630.3337	795.1801	630.3088	606.4714	404.4293	606.4714	404.4293	0	3917	0	0	3	-25.7609	-34.2670	653.5946	38.7932	-30.0593	645.4009	0.0211	0.3591	-0.9331	-0.0773	0.3444	-0.9356	-1	
14122210492	SMP	1	539.0348	639.0877	793.0330	624.6595	10.9213	10.9213	11.5325	11.5325	537.8494	645.2481	542.7810	645.1703	790.3947	630.3683	795.2468	630.3074	605.8526	404.4368	605.8526	404.4368	0	1609	0	0	3	-25.6788	-34.3063	654.2629	38.9615	-30.1628	647.5305	0.0020	0.3653	-0.9309	-0.0741	0.3434	-0.9362	-1	
14122218749	SMP	1	539.0703	639.0576	793.0468	624.6150	11.0240	11.0240	11.4919	11.4919	537.8819	645.2320	542.8203	645.1328	790.4345	630.3420	795.4221	630.2892	604.7622	404.3606	604.7622	404.3606	0	1648	0	0	3	-25.6709	-34.3012	654.2965	39.0356	-30.1930	648.3023	0.0019	0.3654	-0.9308	-0.0806	0.3447	-0.9353	-1	
14122227134	SMP	1	539.0695	639.1269	793.0472	624.5442	11.0988	11.0988	11.2664	11.2664	537.8853	645.2390	542.8251	645.1427	790.4493	630.4363	795.6594	630.2873	602.8104	403.6207	602.8104	403.6207	0	1545	0	0	3	-25.6710	-34.3049	654.3263	39.0083	-30.1584	647.3091	0.0018	0.3623	-0.9321	-0.0892	0.3495	-0.9327	-1	
14122235517	SMP	1	539.0677	639.1263	793.0335	624.5882	11.0451	11.0451	11.5684	11.5684	537.8797	645.2325	542.7912	645.1412	790.4172	630.3711	795.4185	630.3080	601.9931	403.3865	601.9931	403.3865	0	1526	0	0	3	-25.6991	-34.3346	654.9125	39.0211	-30.1900	648.1057	0.0030	0.3624	-0.9320	-0.0807	0.3470	-0.9344	-1	
14122243861	SMP	1	538.9985	639.0561	792.9641	624.5868	10.9952	10.9952	11.4677	11.4677	537.7043	645.2146	542.5766	645.1442	790.3838	630.3415	795.2421	630.3027	602.7316	401.7429	602.7316	401.7429	0	1673	0	0	3	-25.7698	-34.3600	655.4330	39.1040	-30.2707	649.9319	0.0119	0.3657	-0.9307	-0.0782	0.3470	-0.9346	-1	
14122252108	SMP	1	538.8516	639.0933	792.9346	624.5476	11.0986	11.0986	11.2828	11.2828	537.3201	645.2143	542.5366	645.1542	790.3515	630.3686	795.2014	630.3240	602.8787	400.4438	602.8787	400.4438	0	1436	0	0	3	-25.7549	-34.2678	653.6556	39.1921	-30.3524	651.5531	0.0171	0.3630	-0.9316	-0.0775	0.3507	-0.9333	-1	
14122260531	SMP	1	538.8102	639.0852	792.8612	624.6056	11.0827	11.0827	11.5129	11.5129	537.3158	645.1940	542.5298	645.1211	790.1687	630.3222	795.1945	630.2929	603.4548	399.8408	603.4548	399.8408	0	1568	0	0	3	-25.6941	-34.1783	652.0776	39.1537	-30.3312	651.3142	0.0148	0.3613	-0.9323	-0.0762	0.3460	-0.9351	-1	
14122268856	SMP	1	538.9305	638.8771	792.8987	624.4737	11.0784	11.0784	11.4830	11.4830	537.3400	645.1612	542.5638	645.0771	790.3702	630.2778	795.2107	630.2459	604.3658	397.1547	604.3658	397.1547	0	1737	0	0	3	-25.6315	-34.0950	650.6768	39.2695	-30.3878	652.7804	0.0211	0.3693	-0.9291	-0.0809	0.3506	-0.9330	-1	
14122277243	SMP	1	539.0010	638.9500	792.8395	624.4527	11.3224	11.3224	11.5596	11.5596	537.5634	645.1682	542.6061	645.0885	790.3950	630.2750	795.2306	630.2543	604.1481	395.4523	604.1481	395.4523	0	1481	0	0	3	-25.5924	-34.0910	650.5528	39.3536	-30.4492	654.0820	0.0167	0.3660	-0.9305	-0.0865	0.3522	-0.9319	-1	
14122285515	SMP	1	539.0369	639.0069	792.9639	624.4294	11.3521	11.3521	11.4316	11.4316	537.8952	645.1631	542.8395	645.0820	790.4287	630.2345	795.4121	630.2268	601.2236	394.5764	601.2236	394.5764	0	1530	0	0	3	-25.5375	-34.1131	651.0027	39.3838	-30.4420	654.1187	-0.0011	0.3634	-0.9316	-0.0855	0.3517	-0.9322	-1	
