## [iView]
## Converted from:	D:\Yarbus3.idf
## Date:	08.02.2014 09:51:30
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3597                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SUBJ3 ____                                                                                                                                                                                                                                                   
## Description:	kolichestvo predmetov interera                                                                                                                                                                                                                                  
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14360334445	SMP	1	489.8274	547.6100	744.3334	542.4242	14.2339	14.2339	12.8079	12.8079	487.9088	552.2909	493.1211	552.3446	740.5714	547.6061	746.0309	547.5277	669.9262	539.7668	669.9262	539.7668	0	16006	0	0	3	-37.5683	-10.1299	638.2994	25.5827	-8.8057	628.9800	0.0694	0.2490	-0.9660	-0.0020	0.2814	-0.9596	-1	
14360345791	MSG	1	# UTC: 1391853090 370
14405956743	MSG	1	# Message: 70.jpg
14405961095	SMP	1	449.6798	544.2807	706.1471	540.2296	12.9539	12.9539	12.3302	12.3302	447.8376	549.4050	453.1071	549.5313	702.4701	545.7195	708.0179	545.7743	617.9533	416.6265	617.9533	416.6265	0	2614	0	0	3	-47.3168	-9.3517	634.0768	16.0416	-8.2950	624.4541	0.0594	0.3241	-0.9442	-0.0441	0.3214	-0.9459	-1	
14405966424	SMP	1	449.7763	544.3521	706.2530	540.1411	12.9319	12.9319	12.1728	12.1728	447.8586	549.3917	453.1266	549.4635	702.5215	545.6886	708.0294	545.7423	618.5507	417.4526	618.5507	417.4526	0	4921	0	0	3	-47.3150	-9.3422	634.1206	16.0507	-8.2880	624.5072	0.0653	0.3186	-0.9456	-0.0387	0.3243	-0.9452	-1	
14405974558	SMP	1	449.8287	544.1772	706.3532	540.2398	13.0480	13.0480	12.2329	12.2329	447.8852	549.3802	453.1224	549.4306	702.5631	545.6443	708.0540	545.6264	618.5228	418.5434	618.5228	418.5434	0	1510	0	0	3	-47.3568	-9.3455	634.7189	16.0600	-8.2689	624.5543	0.0678	0.3258	-0.9430	-0.0343	0.3153	-0.9484	-1	
14405982942	SMP	1	449.8094	544.1426	706.3778	540.1126	12.9281	12.9281	12.0983	12.0983	447.9140	549.3839	453.3305	549.4017	702.8045	545.6307	708.1065	545.5813	616.1753	418.5043	616.1753	418.5043	0	1674	0	0	3	-47.2837	-9.3336	634.1313	16.1260	-8.2771	625.7177	0.0577	0.3271	-0.9432	-0.0427	0.3207	-0.9462	-1	
14405991214	SMP	1	449.9235	544.1271	706.4508	540.1033	12.9184	12.9184	12.2616	12.2616	447.9393	549.3463	453.3537	549.3906	702.8447	545.6027	708.1225	545.5454	616.3183	419.0354	616.3183	419.0354	0	1478	0	0	3	-47.2388	-9.3199	633.6097	16.1595	-8.2829	626.7505	0.0644	0.3261	-0.9431	-0.0394	0.3201	-0.9466	-1	
14405999482	SMP	1	449.9862	544.1473	706.4783	540.0903	12.9921	12.9921	12.2934	12.2934	447.9573	549.3516	453.3624	549.4025	702.8566	545.5793	708.1292	545.5216	617.1364	419.3497	617.1364	419.3497	0	3737	0	0	3	-47.2009	-9.3152	633.1466	16.1855	-8.2892	627.6674	0.0681	0.3253	-0.9432	-0.0380	0.3199	-0.9467	-1	
14406007900	SMP	1	449.9370	544.1110	706.5206	540.1033	12.8269	12.8269	12.2551	12.2551	447.9570	549.3506	453.3709	549.3831	702.8667	545.5903	708.1341	545.5246	617.9880	419.8142	617.9880	419.8142	0	1932	0	0	3	-47.1693	-9.3066	632.7355	16.2083	-8.3017	628.4815	0.0641	0.3265	-0.9430	-0.0354	0.3200	-0.9468	-1	
