## [iView]
## Converted from:	D:\Yarbus4.idf
## Date:	08.02.2014 09:41:06
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3585                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SBJ4                                                                                                                                                                                                                                             
## Description:	Opredelit Vozrast                                                                                                                                                                                                                                               
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
13736587629	MSG	1	# UTC: 1391852466 600
13736596450	SMP	1	428.3043	251.8571	701.7078	246.6599	13.0936	13.0936	14.4082	14.4082	423.9188	257.2717	428.3751	257.1816	700.1757	252.3326	704.7258	252.2398	765.6178	308.1333	765.6178	308.1333	0	1715	0	0	3	-57.1822	68.1093	679.1418	16.7861	69.7928	682.6921	0.3747	0.2028	-0.9047	-0.1632	0.2237	-0.9609	-1	
13805510413	MSG	1	# Message: 70.jpg
13805515390	SMP	1	451.2697	366.6921	729.3610	362.9869	15.8376	15.8376	16.0216	16.0216	439.5098	370.0192	444.6141	369.7807	717.7568	367.1330	723.0149	367.1704	0.0000	0.0000	0.0000	0.0000	0	3003	0	0	3	-49.6000	35.5988	636.4364	20.1833	36.3589	637.6948	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805523578	SMP	1	451.2395	366.6867	729.4755	362.7506	15.9373	15.9373	15.6764	15.6764	439.5060	369.9789	444.6092	369.7322	717.9810	367.0538	723.0585	367.0975	0.0000	0.0000	0.0000	0.0000	0	1675	0	0	3	-49.6682	35.6581	637.2973	20.2591	36.4542	639.0279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805531814	SMP	1	451.2382	366.6141	729.6529	362.6680	15.8679	15.8679	15.8037	15.8037	439.5129	369.9294	444.6314	369.7006	718.0291	366.9935	723.4118	367.0638	0.0000	0.0000	0.0000	0.0000	0	1707	0	0	3	-49.7241	35.7110	638.0616	20.2763	36.4055	637.9720	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805540208	SMP	1	451.0648	366.5121	729.7028	362.7542	16.0527	16.0527	15.8077	15.8077	439.4991	369.9093	444.6147	369.6878	718.0640	366.9547	723.4462	367.0391	0.0000	0.0000	0.0000	0.0000	0	1554	0	0	3	-49.7808	35.7531	638.7401	20.2552	36.3600	637.0345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805548583	SMP	1	451.0464	366.4969	729.7181	362.7543	15.9730	15.9730	15.8104	15.8104	439.2748	369.8498	444.5607	369.6357	718.0549	366.9077	723.4592	367.0017	0.0000	0.0000	0.0000	0.0000	0	1632	0	0	3	-49.7761	35.7382	638.2254	20.2292	36.3230	636.2022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805556830	SMP	1	451.1222	366.4117	729.6797	362.5861	15.5585	15.5585	15.7371	15.7371	439.1927	369.8474	444.4063	369.6339	718.0410	366.9053	723.4286	366.9926	0.0000	0.0000	0.0000	0.0000	0	1686	0	0	3	-49.8135	35.7445	638.3269	20.2001	36.2823	635.4632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805565208	SMP	1	450.8901	366.4144	729.6007	362.5550	15.9050	15.9050	16.0061	16.0061	439.1280	369.8716	444.3371	369.6378	718.0250	366.9129	723.0961	366.9774	0.0000	0.0000	0.0000	0.0000	0	1655	0	0	3	-49.8374	35.7460	638.4169	20.2065	36.3739	637.0467	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805573703	SMP	1	450.7276	366.2720	729.5510	362.5637	15.6171	15.6171	15.8222	15.8222	439.0533	369.8736	444.2754	369.6447	717.9967	366.8906	723.0681	366.9538	0.0000	0.0000	0.0000	0.0000	0	1739	0	0	3	-49.8608	35.7493	638.4968	20.2440	36.4599	638.4524	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805582032	SMP	1	450.5347	366.3744	729.6433	362.6026	15.8472	15.8472	15.9361	15.9361	439.0024	369.9096	444.2398	369.6667	718.0004	366.9233	723.0644	366.9643	0.0000	0.0000	0.0000	0.0000	0	1798	0	0	3	-49.8772	35.7460	638.5677	20.2836	36.5258	639.7004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805590259	SMP	1	450.6553	366.5839	729.5363	362.7055	15.7629	15.7629	15.8055	15.8055	438.9892	369.9506	444.2249	369.6964	718.0192	366.9617	723.0760	366.9999	0.0000	0.0000	0.0000	0.0000	0	1726	0	0	3	-49.8857	35.7406	638.6307	20.3225	36.5797	640.8084	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805598621	SMP	1	450.5559	366.5475	729.5380	362.6474	15.5355	15.5355	15.6822	15.6822	438.9859	369.9744	444.2222	369.7299	718.0458	367.0126	723.1002	367.0111	0.0000	0.0000	0.0000	0.0000	0	1968	0	0	3	-49.8908	35.7366	638.6866	20.3601	36.6280	641.7921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805606986	SMP	1	450.7861	366.7160	729.4667	362.7406	15.2989	15.2989	15.8814	15.8814	438.9871	370.0142	444.2254	369.7921	718.0711	367.0703	723.1408	367.0715	0.0000	0.0000	0.0000	0.0000	0	4399	0	0	3	-49.8941	35.7265	638.7362	20.3962	36.6629	642.6654	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805615330	SMP	1	450.5937	366.9262	729.6303	362.9976	15.7480	15.7480	15.8535	15.8535	438.9806	370.0544	444.2480	370.0701	718.0786	367.1355	723.1848	367.1272	0.0000	0.0000	0.0000	0.0000	0	2147	0	0	3	-49.8520	35.6578	638.2219	20.4096	36.6599	642.8809	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805623625	SMP	1	450.4601	366.8100	729.5883	363.0366	15.6631	15.6631	15.9707	15.9707	438.9642	370.1593	444.2279	370.3075	718.0668	367.3792	723.1964	367.1988	0.0000	0.0000	0.0000	0.0000	0	1721	0	0	3	-49.8209	35.5893	637.7654	20.4156	36.6309	643.0723	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805632023	SMP	1	450.3886	367.0583	729.5861	362.9907	15.7605	15.7605	16.0355	16.0355	438.9421	370.3135	444.1944	370.4169	718.0583	367.4746	723.1904	367.4309	0.0000	0.0000	0.0000	0.0000	0	1850	0	0	3	-49.7962	35.5336	637.3601	20.4192	36.5991	643.2423	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805640372	SMP	1	450.4646	367.2240	729.5010	363.1671	15.5364	15.5364	15.8461	15.8461	438.9040	370.6943	444.1529	370.4924	718.0253	367.5364	723.1630	367.5013	0.0000	0.0000	0.0000	0.0000	0	1737	0	0	3	-49.7781	35.4564	637.0004	20.4164	36.5909	643.3933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805648758	SMP	1	450.4303	367.2504	729.7179	363.2067	15.6615	15.6615	16.0406	16.0406	438.8674	370.7832	444.0992	370.5751	718.0184	367.6035	723.1310	367.5720	0.0000	0.0000	0.0000	0.0000	0	1653	0	0	3	-49.8081	35.4482	637.2396	20.4157	36.5811	643.5274	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805656983	SMP	1	450.0915	367.3554	729.6094	363.3779	15.7835	15.7835	15.9893	15.9893	438.8173	370.8640	444.0554	370.6311	717.9998	367.6569	723.1299	367.5949	0.0000	0.0000	0.0000	0.0000	0	1815	0	0	3	-49.8364	35.4428	637.4519	20.4170	36.5782	643.6464	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805665351	SMP	1	450.3546	367.4110	729.4809	363.3559	15.4871	15.4871	16.1186	16.1186	438.6354	370.9444	443.7828	370.6912	718.0216	367.8760	723.1254	367.6670	0.0000	0.0000	0.0000	0.0000	0	1682	0	0	3	-49.9517	35.4668	638.1987	20.4225	36.5473	643.7522	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805673757	SMP	1	450.3699	367.8095	729.5726	363.4777	15.9585	15.9585	16.1496	16.1496	438.7866	371.0010	443.7922	370.7494	718.0322	367.9598	723.4678	367.7201	0.0000	0.0000	0.0000	0.0000	0	1608	0	0	3	-50.0705	35.5513	639.9788	20.3993	36.4080	641.6066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805682128	SMP	1	450.1696	367.6074	729.5726	363.6938	15.7159	15.7159	16.1424	16.1424	438.8180	371.0543	444.0936	370.9869	718.0657	368.0308	723.5216	367.7945	0.0000	0.0000	0.0000	0.0000	0	1840	0	0	3	-49.9781	35.4782	639.3254	20.3498	36.2816	639.7019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805690371	SMP	1	450.3564	367.8164	729.7037	363.6791	15.7653	15.7653	16.1334	16.1334	438.8740	371.0967	444.1444	371.0525	718.1085	368.0824	723.5551	367.9387	0.0000	0.0000	0.0000	0.0000	0	1621	0	0	3	-49.9193	35.4325	638.7454	20.3055	36.1611	638.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805698741	SMP	1	450.2592	367.7607	729.8120	363.7970	15.7134	15.7134	16.1179	16.1179	438.9012	371.1121	444.2008	371.0863	718.1790	368.1110	723.5950	367.9947	0.0000	0.0000	0.0000	0.0000	0	1985	0	0	3	-49.8686	35.3977	638.2305	20.2894	36.0972	637.0694	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805707127	SMP	1	450.4724	367.9123	729.9244	364.0330	15.6724	15.6724	15.8889	15.8889	438.9425	371.1597	444.2539	371.1303	718.2182	368.2804	723.6603	368.0498	0.0000	0.0000	0.0000	0.0000	0	4484	0	0	3	-49.8211	35.3608	637.7734	20.2581	35.9900	635.6738	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805715485	SMP	1	450.6825	367.9475	729.8760	363.8716	15.5352	15.5352	15.9397	15.9397	438.9747	371.1798	444.2744	371.1599	718.2608	368.3109	723.6861	368.0797	0.0000	0.0000	0.0000	0.0000	0	2315	0	0	3	-49.7828	35.3321	637.3676	20.2271	35.9123	634.4348	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
13805723754	SMP	1	450.4967	367.8886	730.0916	364.1426	15.6702	15.6702	15.8953	15.8953	438.9871	371.1560	444.2965	371.1378	718.2865	368.1420	723.6946	368.0769	0.0000	0.0000	0.0000	0.0000	0	1631	0	0	3	-49.7503	35.3179	637.0074	20.2141	35.9031	633.8947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-1	
