## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Alayskiy_gr4_newbies-eye_data.idf
## Date:	27.04.2012 09:22:40
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	95192
## Reversed:	none
## [Run]
## Subject:	Alayskiy_gr4_newbies
## Description:	Run19
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
5000395055	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
5000396571	SMP	1	100.63	61.86	35.00	31.00	100.14	73.81	248.79	211.86
5000398569	SMP	1	100.64	61.93	33.00	32.00	100.13	73.77	248.76	213.61
5000400568	SMP	1	100.67	61.96	36.00	31.00	100.11	73.74	250.27	216.89
5000402567	SMP	1	100.69	61.84	34.00	31.00	100.11	73.75	251.99	215.00
5000404570	SMP	1	100.81	61.89	35.00	31.00	100.11	73.73	256.22	216.41
5000406572	SMP	1	100.69	61.90	35.00	31.00	100.08	73.73	255.94	216.89
5000408574	SMP	1	100.73	61.80	35.00	31.00	100.09	73.70	256.72	215.30
5000410572	SMP	1	100.56	61.75	33.00	31.00	100.10	73.65	251.10	214.58
5000412571	SMP	1	100.63	61.78	34.00	31.00	100.08	73.67	251.99	214.07
5000414572	SMP	1	100.51	61.87	35.00	32.00	100.05	73.68	249.10	215.70
5000416575	SMP	1	100.62	61.80	35.00	31.00	100.06	73.61	250.46	217.20
5000418575	SMP	1	100.65	61.76	35.00	31.00	100.05	73.57	252.56	218.10
5000420577	SMP	1	100.58	61.85	34.00	31.00	100.06	73.57	251.60	220.72
5000422578	SMP	1	100.52	61.75	35.00	32.00	100.03	73.59	250.77	219.26
5000424578	SMP	1	100.53	61.75	35.00	31.00	100.02	73.57	250.16	218.85
5000426582	SMP	1	100.54	61.74	35.00	30.00	100.02	73.53	249.76	219.02
5000428580	SMP	1	100.54	61.89	34.00	31.00	100.03	73.56	249.71	222.54
5000430580	SMP	1	100.45	61.75	35.00	31.00	100.03	73.53	247.68	221.27
5000432580	SMP	1	100.40	61.78	35.00	31.00	100.01	73.53	245.26	221.86
5000434579	SMP	1	100.50	61.73	35.00	32.00	100.02	73.53	245.94	220.57
5000436583	SMP	1	100.54	61.74	35.00	31.00	100.03	73.52	247.37	220.21
5000438583	SMP	1	100.48	61.73	34.00	32.00	100.02	73.54	247.56	219.42
5000440584	SMP	1	100.59	61.73	35.00	31.00	100.03	73.49	249.67	220.05
5000442583	SMP	1	100.44	61.70	35.00	31.00	100.02	73.51	247.43	219.44
5000444582	SMP	1	100.45	61.76	35.00	31.00	100.03	73.50	246.20	220.48
5000446586	SMP	1	100.46	61.71	35.00	31.00	100.04	73.49	245.42	220.63
5000448588	SMP	1	100.44	61.69	35.00	31.00	100.02	73.51	244.78	219.33
5000450585	SMP	1	100.58	61.69	35.00	31.00	100.03	73.47	248.23	219.69
5000452589	SMP	1	100.59	61.68	35.00	31.00	100.04	73.49	250.19	219.00
5000454588	SMP	1	100.65	61.79	35.00	31.00	100.03	73.49	253.16	221.73
5000456592	SMP	1	100.56	61.73	35.00	31.00	100.03	73.50	252.58	221.64
5000458589	SMP	1	100.63	61.67	35.00	31.00	100.04	73.44	253.39	221.50
5000460592	SMP	1	100.67	61.74	34.00	30.00	100.03	73.46	254.92	222.65
5000462593	SMP	1	100.66	61.72	36.00	31.00	100.04	73.46	255.23	222.66
5000464592	SMP	1	100.52	61.68	35.00	31.00	100.06	73.44	251.17	222.34
5000466595	SMP	1	100.59	61.65	34.00	31.00	100.05	73.44	251.68	221.42
5000468595	SMP	1	100.56	61.66	35.00	31.00	100.05	73.44	250.34	220.82
5000470596	SMP	1	100.57	61.70	34.00	31.00	100.08	73.47	249.44	220.56
5000472592	SMP	1	100.71	61.75	35.00	31.00	100.14	73.55	250.98	219.90
5000474595	SMP	1	101.11	61.83	35.00	31.00	100.34	73.61	260.43	220.32
5000476598	SMP	1	101.54	61.93	35.00	31.00	100.90	73.73	257.50	220.07
5000478600	SMP	1	102.14	62.25	34.00	31.00	101.07	73.86	279.71	227.58
5000480599	SMP	1	103.24	62.66	35.00	30.00	101.83	73.97	298.22	249.62
5000482597	SMP	1	104.48	63.23	34.00	32.00	102.05	74.13	355.47	278.40
5000484597	SMP	1	105.86	63.76	35.00	32.00	102.93	74.22	382.89	306.32
5000486602	SMP	1	107.12	64.32	36.00	33.00	103.21	74.48	436.86	328.37
5000488603	SMP	1	108.24	64.78	35.00	33.00	104.06	74.70	449.42	341.47
5000490599	SMP	1	109.33	65.25	35.00	33.00	104.60	74.63	481.24	378.78
5000492603	SMP	1	110.39	65.60	35.00	34.00	105.08	74.77	513.03	392.15
5000494603	SMP	1	111.27	65.98	34.00	34.00	105.98	75.03	512.26	398.71
5000496608	SMP	1	112.48	66.41	35.00	35.00	106.23	75.23	564.57	418.23
5000498606	SMP	1	113.41	66.90	35.00	34.00	107.02	75.40	569.64	438.46
5000500606	SMP	1	114.36	67.42	35.00	37.00	107.52	75.60	596.89	460.69
5000502606	SMP	1	115.33	67.93	35.00	34.00	108.00	75.95	624.49	469.84
5000504604	SMP	1	115.91	68.31	35.00	36.00	108.35	76.12	634.18	484.37
5000506608	SMP	1	116.71	68.51	35.00	35.00	108.90	76.10	648.20	499.44
5000508607	SMP	1	117.14	68.66	36.00	35.00	108.96	76.08	670.53	510.11
5000510608	SMP	1	117.26	68.78	35.00	35.00	109.02	76.14	672.85	514.45
5000512609	SMP	1	117.06	68.76	35.00	35.00	109.03	76.10	665.79	515.94
5000514609	SMP	1	116.92	68.78	35.00	35.00	109.02	76.11	659.03	516.93
5000516612	SMP	1	116.56	68.53	35.00	35.00	109.01	76.06	636.51	508.14
5000518611	SMP	1	116.36	68.53	35.00	35.00	109.01	76.04	627.66	506.09
5000520613	SMP	1	116.41	68.36	34.00	34.00	109.00	76.04	628.61	498.22
5000522615	SMP	1	116.39	68.50	35.00	35.00	108.99	76.07	627.90	500.52
5000524613	SMP	1	116.48	68.52	35.00	36.00	108.98	76.07	629.76	500.96
5000526619	SMP	1	116.54	68.75	35.00	34.00	108.99	76.10	632.95	511.28
5000528617	SMP	1	116.65	68.75	35.00	35.00	108.98	76.12	638.61	513.03
5000530618	SMP	1	116.76	68.86	35.00	35.00	108.97	76.14	645.70	517.19
5000532618	SMP	1	116.78	68.88	35.00	35.00	108.99	76.20	647.89	517.89
5000534616	SMP	1	116.72	69.02	35.00	34.00	108.96	76.19	648.03	523.03
5000536619	SMP	1	116.71	69.00	35.00	35.00	108.96	76.22	647.81	523.57
5000538621	SMP	1	116.63	68.99	35.00	35.00	108.96	76.23	645.26	523.36
5000540619	SMP	1	116.61	68.94	35.00	34.00	108.94	76.26	643.64	520.85
5000542622	SMP	1	116.56	68.99	35.00	36.00	108.94	76.26	641.56	520.33
5000544619	SMP	1	116.48	68.90	35.00	35.00	108.93	76.31	638.79	515.42
5000546622	SMP	1	116.45	68.92	35.00	35.00	108.93	76.25	636.40	515.88
5000548622	SMP	1	116.43	68.95	36.00	34.00	108.90	76.29	635.38	515.58
5000550624	SMP	1	116.23	68.86	34.00	34.00	108.89	76.29	628.65	512.79
5000552622	SMP	1	116.20	68.93	35.00	35.00	108.87	76.36	625.51	511.44
5000554622	SMP	1	116.17	68.93	35.00	35.00	108.88	76.35	623.23	510.35
5000556625	SMP	1	116.21	68.99	34.00	34.00	108.87	76.36	623.38	511.34
5000558626	SMP	1	116.25	68.98	35.00	34.00	108.85	76.41	624.98	510.92
5000560625	SMP	1	116.30	68.96	35.00	35.00	108.86	76.41	627.28	510.09
5000562626	SMP	1	116.18	69.00	35.00	34.00	108.85	76.44	626.27	509.56
5000564625	SMP	1	116.09	69.07	35.00	34.00	108.84	76.42	622.95	511.08
5000566628	SMP	1	116.08	69.05	35.00	34.00	108.84	76.41	620.57	512.43
5000568629	SMP	1	116.06	69.06	35.00	34.00	108.85	76.41	618.51	513.39
5000570628	SMP	1	116.08	68.87	35.00	34.00	108.82	76.42	618.42	506.06
5000572630	SMP	1	115.91	69.12	34.00	34.00	108.81	76.43	614.82	513.88
5000574628	SMP	1	116.01	68.97	35.00	34.00	108.82	76.43	615.30	508.80
5000576634	SMP	1	115.94	68.98	35.00	34.00	108.82	76.45	613.57	507.35
5000578633	SMP	1	115.96	69.01	35.00	35.00	108.82	76.41	613.09	509.38
5000580633	SMP	1	116.03	69.05	36.00	34.00	108.81	76.39	614.90	511.30
5000582633	SMP	1	116.05	68.96	34.00	34.00	108.80	76.38	617.00	510.84
5000584632	SMP	1	115.95	68.98	34.00	34.00	108.81	76.42	615.67	509.75
5000586637	SMP	1	116.07	68.98	35.00	35.00	108.79	76.43	618.35	508.86
5000588637	SMP	1	115.93	68.98	35.00	34.00	108.81	76.42	614.84	508.23
5000590637	SMP	1	115.90	68.94	35.00	35.00	108.79	76.37	613.12	508.31
5000592637	SMP	1	115.83	69.06	34.00	36.00	108.80	76.38	609.71	511.50
5000594639	SMP	1	115.94	68.96	34.00	36.00	108.80	76.40	610.84	510.11
5000596642	SMP	1	115.94	68.95	36.00	35.00	108.80	76.40	611.81	509.07
5000598642	SMP	1	115.95	69.02	35.00	34.00	108.79	76.41	612.87	509.93
5000600641	SMP	1	115.85	68.96	35.00	34.00	108.80	76.37	611.27	509.55
5000602640	SMP	1	115.82	69.00	34.00	35.00	108.80	76.40	608.68	509.84
5000604643	SMP	1	115.92	69.04	34.00	34.00	108.78	76.36	610.17	512.30
5000606645	SMP	1	115.78	68.89	35.00	35.00	108.79	76.42	607.31	506.24
5000608646	SMP	1	115.85	69.02	35.00	34.00	108.77	76.36	608.77	512.37
5000610647	SMP	1	115.92	69.13	35.00	34.00	108.78	76.36	610.65	517.59
5000612645	SMP	1	115.96	68.98	35.00	35.00	108.77	76.38	613.22	512.78
5000614644	SMP	1	115.80	68.90	34.00	35.00	108.77	76.36	610.47	509.70
5000616646	SMP	1	115.79	69.00	35.00	35.00	108.75	76.37	608.87	511.02
5000618648	SMP	1	115.80	68.99	35.00	34.00	108.74	76.39	608.25	510.34
5000620650	SMP	1	115.78	68.93	35.00	34.00	108.73	76.38	607.84	509.01
5000622647	SMP	1	115.87	68.98	35.00	35.00	108.74	76.39	609.89	509.42
5000624646	SMP	1	115.87	68.97	35.00	34.00	108.71	76.35	611.94	510.30
5000626651	SMP	1	115.87	68.99	35.00	35.00	108.69	76.39	613.68	510.61
5000628652	SMP	1	115.93	69.00	35.00	34.00	108.69	76.35	615.97	512.22
5000630654	SMP	1	115.86	68.92	35.00	34.00	108.68	76.38	616.13	510.26
5000632654	SMP	1	115.97	69.03	34.00	34.00	108.66	76.42	619.10	510.76
5000634652	SMP	1	115.77	69.06	35.00	34.00	108.67	76.39	614.30	512.74
5000636655	SMP	1	115.85	69.02	34.00	35.00	108.64	76.39	616.10	512.65
5000638658	SMP	1	115.78	69.04	34.00	34.00	108.64	76.44	614.16	512.36
5000640657	SMP	1	115.78	69.05	34.00	34.00	108.60	76.42	614.22	512.43
5000642654	SMP	1	115.68	68.98	35.00	34.00	108.58	76.45	613.19	509.53
5000644654	SMP	1	115.68	68.95	35.00	35.00	108.59	76.45	611.74	506.87
5000646657	SMP	1	115.69	69.06	35.00	35.00	108.55	76.44	611.96	508.88
5000648658	SMP	1	115.74	68.97	35.00	34.00	108.50	76.46	615.00	506.89
5000650658	SMP	1	115.69	69.10	35.00	35.00	108.48	76.46	616.07	510.38
5000652658	SMP	1	115.70	69.01	35.00	35.00	108.44	76.46	618.12	509.35
5000654658	SMP	1	115.64	68.92	34.00	34.00	108.42	76.46	618.35	505.62
5000656665	SMP	1	115.62	69.07	34.00	34.00	108.38	76.48	618.28	508.62
5000658662	SMP	1	115.64	68.93	35.00	34.00	108.39	76.47	618.79	504.64
5000660662	SMP	1	115.54	68.93	34.00	34.00	108.40	76.48	616.36	502.80
5000662664	SMP	1	115.61	69.06	35.00	34.00	108.41	76.45	616.38	508.50
5000664662	SMP	1	115.58	69.01	34.00	34.00	108.38	76.49	616.10	505.94
5000666668	SMP	1	115.57	69.03	34.00	34.00	108.34	76.47	616.60	507.61
5000668666	SMP	1	115.66	68.89	35.00	35.00	108.34	76.46	619.69	504.57
5000670665	SMP	1	115.62	68.92	34.00	34.00	108.32	76.45	621.07	503.92
5000672665	SMP	1	115.63	69.01	35.00	34.00	108.34	76.48	621.74	505.13
5000674665	SMP	1	115.70	68.92	35.00	35.00	108.33	76.46	623.55	504.25
5000676669	SMP	1	115.64	68.97	34.00	35.00	108.32	76.46	623.45	504.96
5000678669	SMP	1	115.66	68.88	34.00	34.00	108.30	76.43	624.32	503.65
5000680670	SMP	1	115.51	68.92	34.00	35.00	108.30	76.43	620.95	503.44
5000682668	SMP	1	115.51	68.88	34.00	35.00	108.27	76.43	619.71	502.84
5000684672	SMP	1	115.56	68.92	34.00	34.00	108.30	76.39	619.26	504.17
5000686675	SMP	1	115.59	68.93	34.00	34.00	108.31	76.36	619.57	506.44
5000688672	SMP	1	115.55	68.82	34.00	36.00	108.27	76.38	620.35	504.35
5000690673	SMP	1	115.54	68.85	34.00	34.00	108.25	76.37	620.96	504.15
5000692675	SMP	1	115.56	68.85	34.00	35.00	108.25	76.36	621.85	503.99
5000694675	SMP	1	115.56	68.78	35.00	35.00	108.26	76.32	622.18	503.28
5000696679	SMP	1	115.47	68.85	34.00	35.00	108.25	76.35	620.54	504.03
5000698678	SMP	1	115.64	68.82	35.00	34.00	108.24	76.28	624.20	505.51
5000700677	SMP	1	115.50	68.83	35.00	34.00	108.21	76.26	622.48	507.47
5000702676	SMP	1	115.60	68.81	35.00	35.00	108.20	76.27	625.40	508.23
5000704676	SMP	1	115.49	68.71	34.00	34.00	108.21	76.25	623.54	506.01
5000706683	SMP	1	115.49	68.72	35.00	35.00	108.19	76.23	622.67	505.21
5000708681	SMP	1	115.49	68.68	34.00	34.00	108.19	76.26	622.42	502.66
5000710681	SMP	1	115.64	68.74	35.00	35.00	108.19	76.25	626.04	503.23
5000712681	SMP	1	115.53	68.68	34.00	35.00	108.18	76.23	625.33	502.99
5000714679	SMP	1	115.48	68.70	35.00	34.00	108.16	76.23	624.55	503.08
5000716685	SMP	1	115.49	68.71	34.00	35.00	108.18	76.22	623.91	503.89
5000718683	SMP	1	115.47	68.69	35.00	35.00	108.16	76.18	622.95	504.44
5000720685	SMP	1	115.60	68.61	35.00	33.00	108.15	76.15	625.98	504.16
5000722683	SMP	1	115.41	68.66	34.00	34.00	108.14	76.16	623.10	504.37
5000724681	SMP	1	115.54	68.59	35.00	34.00	108.14	76.16	625.81	503.20
5000726690	SMP	1	115.51	68.72	34.00	35.00	108.12	76.13	626.63	507.13
5000728689	SMP	1	115.43	68.71	34.00	34.00	108.12	76.10	624.66	509.62
5000730690	SMP	1	115.45	68.61	34.00	34.00	108.11	76.11	624.69	507.51
5000732690	SMP	1	115.42	68.70	35.00	34.00	108.12	76.14	623.20	508.58
5000734689	SMP	1	115.51	68.70	34.00	34.00	108.10	76.08	624.83	510.11
5000736692	SMP	1	115.41	68.53	34.00	34.00	108.10	76.01	624.07	508.27
5000738689	SMP	1	115.22	68.27	34.00	35.00	108.02	75.83	620.44	504.65
5000740691	SMP	1	114.86	67.90	35.00	34.00	108.01	75.58	598.15	496.00
5000742690	SMP	1	114.49	67.17	34.00	34.00	107.98	75.25	579.73	466.27
5000744689	SMP	1	114.11	66.44	34.00	35.00	107.83	74.82	568.89	447.92
5000746694	SMP	1	113.52	65.45	35.00	33.00	107.66	75.15	544.21	363.43
5000748694	SMP	1	113.16	64.29	34.00	35.00	107.57	74.66	531.33	320.93
5000750694	SMP	1	112.82	63.19	34.00	34.00	107.35	74.18	525.76	282.00
5000752694	SMP	1	112.54	62.19	34.00	33.00	107.29	73.45	514.21	265.35
5000754696	SMP	1	112.50	61.44	34.00	33.00	107.28	72.83	510.78	258.85
5000756700	SMP	1	112.34	60.82	34.00	32.00	107.13	72.31	509.39	253.02
5000758698	SMP	1	112.10	60.38	34.00	33.00	107.16	72.02	496.85	243.75
5000760700	SMP	1	111.80	59.86	34.00	32.00	107.09	71.70	482.66	229.45
5000762700	SMP	1	111.37	59.51	35.00	32.00	106.86	71.52	472.07	219.23
5000764701	SMP	1	111.21	59.26	34.00	32.00	106.71	71.44	470.10	208.73
5000766704	SMP	1	110.80	59.04	35.00	32.00	106.60	71.37	453.82	198.84
5000768704	SMP	1	110.55	58.76	34.00	31.00	106.42	71.21	450.01	191.16
5000770704	SMP	1	110.34	58.59	34.00	31.00	106.14	70.95	450.94	193.08
5000772702	SMP	1	110.17	58.50	34.00	31.00	105.93	70.95	452.00	190.48
5000774704	SMP	1	110.13	58.33	35.00	31.00	105.86	70.98	453.51	179.92
5000776706	SMP	1	110.13	58.48	34.00	33.00	105.81	71.04	455.89	181.80
5000778705	SMP	1	110.17	58.55	34.00	32.00	105.80	71.16	458.22	179.91
5000780705	SMP	1	110.13	58.67	35.00	32.00	105.75	71.23	459.81	180.42
5000782705	SMP	1	110.26	58.69	35.00	32.00	105.77	71.35	463.90	178.75
5000784703	SMP	1	110.23	58.78	34.00	33.00	105.72	71.40	466.40	178.33
5000786709	SMP	1	110.11	58.82	34.00	32.00	105.71	71.42	464.85	178.73
5000788709	SMP	1	110.14	58.98	34.00	32.00	105.72	71.46	464.68	182.57
5000790709	SMP	1	110.10	59.05	34.00	32.00	105.74	71.51	462.62	185.82
5000792708	SMP	1	110.15	59.01	34.00	32.00	105.72	71.51	462.92	186.16
5000794710	SMP	1	110.03	59.01	34.00	32.00	105.74	71.55	460.05	185.12
5000796712	SMP	1	110.01	59.11	34.00	31.00	105.74	71.57	457.53	185.99
5000798712	SMP	1	110.06	59.05	34.00	32.00	105.74	71.59	457.56	184.49
5000800713	SMP	1	110.03	59.12	34.00	32.00	105.74	71.66	456.89	183.72
