## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Andreev-eye_data.idf
## Date:	20.04.2012 12:53:16
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	96810
## Reversed:	none
## [Run]
## Subject:	Andreev
## Description:	Run8
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
22207849998	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
22207851437	SMP	1	105.06	18.98	32.00	31.00	91.88	30.93	674.30	480.47
22207853434	SMP	1	105.12	18.96	33.00	31.00	91.91	30.96	675.40	480.17
22207855437	SMP	1	105.14	19.10	33.00	31.00	91.91	31.01	676.44	481.58
22207857437	SMP	1	105.17	19.16	32.00	31.00	91.93	31.07	677.14	482.70
22207859434	SMP	1	105.13	19.23	32.00	31.00	91.96	31.17	676.61	482.92
22207861438	SMP	1	105.10	19.29	33.00	30.00	91.97	31.27	675.23	482.33
22207863437	SMP	1	105.19	19.29	33.00	31.00	91.97	31.31	675.60	480.57
22207865439	SMP	1	105.13	19.36	33.00	31.00	91.98	31.37	674.90	479.60
22207867437	SMP	1	105.25	19.47	33.00	31.00	91.99	31.40	676.28	480.37
22207869437	SMP	1	105.19	19.44	33.00	30.00	91.99	31.46	676.44	479.72
22207871441	SMP	1	105.27	19.55	33.00	30.00	92.00	31.54	677.47	479.70
22207873442	SMP	1	105.28	19.63	33.00	30.00	91.99	31.57	678.67	480.42
22207875441	SMP	1	105.30	19.58	33.00	32.00	91.99	31.60	679.59	479.62
22207877443	SMP	1	105.33	19.63	33.00	31.00	92.00	31.63	680.67	479.38
22207879444	SMP	1	105.23	19.77	33.00	30.00	92.00	31.67	679.76	481.17
22207881447	SMP	1	105.21	19.72	32.00	30.00	92.00	31.71	678.43	480.65
22207883447	SMP	1	105.18	19.84	32.00	30.00	92.00	31.74	677.05	482.38
22207885447	SMP	1	105.16	19.91	33.00	31.00	91.98	31.79	675.98	483.84
22207887447	SMP	1	105.19	19.85	33.00	31.00	91.98	31.83	676.01	482.47
22207889445	SMP	1	105.18	19.96	33.00	31.00	91.97	31.88	676.28	482.90
22207891449	SMP	1	105.13	20.01	33.00	31.00	91.96	31.92	675.94	483.02
22207893451	SMP	1	105.09	19.98	33.00	31.00	91.96	31.93	674.92	482.60
22207895453	SMP	1	105.18	19.99	33.00	31.00	91.94	31.96	675.94	482.17
22207897451	SMP	1	105.08	20.07	33.00	31.00	91.93	31.96	675.31	482.92
22207899448	SMP	1	105.12	20.04	33.00	31.00	91.92	31.98	675.76	482.71
22207901453	SMP	1	105.06	20.14	32.00	31.00	91.91	31.98	675.39	484.67
22207903455	SMP	1	105.07	20.12	32.00	31.00	91.91	31.99	674.94	485.40
22207905456	SMP	1	105.05	20.09	32.00	31.00	91.91	31.99	674.48	485.16
22207907452	SMP	1	105.06	20.11	32.00	31.00	91.89	32.00	674.52	485.12
22207909452	SMP	1	105.01	20.12	33.00	30.00	91.89	32.00	673.88	484.88
22207911457	SMP	1	105.05	20.13	32.00	31.00	91.88	32.01	674.25	485.12
22207913456	SMP	1	105.03	20.11	32.00	31.00	91.88	32.00	674.28	485.24
22207915457	SMP	1	105.00	20.08	33.00	31.00	91.87	32.00	673.85	484.76
22207917458	SMP	1	105.03	20.04	33.00	31.00	91.89	32.00	673.79	483.35
22207919458	SMP	1	105.00	20.16	33.00	31.00	91.87	31.99	673.49	484.73
