## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Bogacheva_gr4_newbies-eye_data.idf
## Date:	27.04.2012 11:10:58
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	102463
## Reversed:	none
## [Run]
## Subject:	Bogacheva_gr4_newbies
## Description:	Run23
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
11493260096	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
11493261165	SMP	1	116.88	77.55	38.00	38.00	107.89	89.23	564.68	560.40
11493263167	SMP	1	117.04	77.45	39.00	39.00	107.91	89.25	568.87	558.75
11493265170	SMP	1	116.88	77.51	39.00	38.00	107.92	89.23	566.40	559.01
11493267169	SMP	1	116.86	77.47	38.00	38.00	107.93	89.25	564.84	557.77
11493269169	SMP	1	116.92	77.52	38.00	39.00	107.92	89.24	565.29	558.32
11493271168	SMP	1	116.88	77.39	39.00	38.00	107.95	89.22	564.11	556.77
11493273168	SMP	1	117.06	77.51	39.00	39.00	107.96	89.21	567.71	558.52
11493275172	SMP	1	116.90	77.44	39.00	38.00	107.96	89.26	565.46	556.59
11493277172	SMP	1	116.99	77.46	39.00	38.00	107.97	89.19	566.90	557.98
11493279172	SMP	1	116.89	77.52	37.00	38.00	107.97	89.21	564.64	559.58
11493281172	SMP	1	116.97	77.56	39.00	38.00	107.98	89.18	565.02	562.30
11493283173	SMP	1	116.91	77.53	38.00	38.00	107.98	89.19	563.98	563.04
11493285175	SMP	1	116.93	77.48	38.00	39.00	107.99	89.23	563.32	561.31
11493287177	SMP	1	116.94	77.44	39.00	39.00	108.00	89.20	563.32	559.37
11493289178	SMP	1	116.83	77.50	37.00	38.00	107.99	89.19	561.16	559.68
11493291175	SMP	1	116.92	77.44	38.00	38.00	108.00	89.19	561.45	558.94
11493293177	SMP	1	116.84	77.58	37.00	39.00	108.00	89.15	560.07	563.10
11493295181	SMP	1	117.01	77.44	39.00	38.00	107.99	89.15	563.81	561.66
11493297181	SMP	1	116.98	77.44	39.00	38.00	107.99	89.17	565.06	560.76
11493299180	SMP	1	117.02	77.42	39.00	38.00	107.98	89.15	566.95	560.32
11493301178	SMP	1	116.91	77.51	38.00	38.00	107.99	89.18	565.11	560.68
11493303179	SMP	1	116.91	77.44	38.00	38.00	108.00	89.16	563.31	560.24
11493305183	SMP	1	117.01	77.40	38.00	38.00	107.99	89.13	564.83	559.96
11493307183	SMP	1	116.93	77.51	38.00	39.00	107.97	89.11	564.37	562.83
11493309185	SMP	1	116.91	77.44	39.00	39.00	107.99	89.15	563.92	561.62
11493311185	SMP	1	117.06	77.37	38.00	40.00	107.97	89.15	567.34	559.67
11493313185	SMP	1	116.90	77.50	38.00	39.00	107.98	89.17	564.21	560.72
