## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Dudnikov_gr4_newbies-eye_data.idf
## Date:	27.04.2012 09:44:13
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	130765
## Reversed:	none
## [Run]
## Subject:	Dudnikov_gr4_newbies
## Description:	Run20
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
6345268555	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
6345269583	SMP	1	113.10	79.52	31.00	29.00	104.71	97.79	586.49	561.64
6345271585	SMP	1	113.17	79.54	31.00	29.00	104.72	97.77	587.24	562.27
6345273585	SMP	1	113.17	79.49	32.00	29.00	104.73	97.77	587.69	561.39
6345275585	SMP	1	113.17	79.51	31.00	29.00	104.73	97.76	587.57	561.54
6345277585	SMP	1	113.13	79.52	31.00	29.00	104.75	97.72	586.69	563.01
6345279590	SMP	1	113.15	79.49	32.00	29.00	104.74	97.78	586.21	561.81
6345281591	SMP	1	113.19	79.51	32.00	29.00	104.74	97.74	586.80	562.70
6345283591	SMP	1	113.17	79.46	31.00	29.00	104.73	97.76	587.27	560.84
6345285591	SMP	1	113.15	79.50	32.00	29.00	104.73	97.76	587.35	560.72
6345287588	SMP	1	113.17	79.46	32.00	29.00	104.76	97.78	587.05	559.52
6345289588	SMP	1	113.18	79.52	32.00	30.00	104.76	97.78	586.72	559.80
6345291592	SMP	1	113.13	79.49	32.00	29.00	104.77	97.77	585.59	559.99
6345293592	SMP	1	113.14	79.49	32.00	29.00	104.76	97.79	585.13	559.77
6345295591	SMP	1	113.14	79.50	32.00	29.00	104.79	97.82	584.41	559.00
6345297594	SMP	1	113.17	79.47	32.00	29.00	104.72	97.78	585.82	558.44
6345299591	SMP	1	113.16	79.48	32.00	29.00	104.76	97.79	586.05	558.22
6345301596	SMP	1	113.14	79.54	32.00	29.00	104.76	97.80	585.77	559.22
6345303597	SMP	1	113.15	79.54	32.00	30.00	104.75	97.78	585.89	560.82
6345305595	SMP	1	113.14	79.54	31.00	29.00	104.76	97.83	585.29	560.60
6345307596	SMP	1	113.14	79.54	31.00	29.00	104.73	97.85	585.62	559.81
6345309598	SMP	1	113.18	79.53	32.00	30.00	104.73	97.83	586.99	559.22
