## [BeGaze]
## Converted from:	D:\Experiment Center\Results\Marmalyuk_Yuriev_problem_solving\Egorova_gr3_psy-eye_data.idf
## Date:	21.04.2012 08:44:12
## Version:	BeGaze 3.0.181
## IDF Version:	9
## Sample Rate:	500
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	55905
## Reversed:	none
## [Run]
## Subject:	Egorova_gr3_psy
## Description:	Run12
## [Calibration]
## Calibration Type:	13-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;512)
## Calibration Point 1:	Position(64;51)
## Calibration Point 2:	Position(1216;51)
## Calibration Point 3:	Position(64;973)
## Calibration Point 4:	Position(1216;973)
## Calibration Point 5:	Position(64;512)
## Calibration Point 6:	Position(640;51)
## Calibration Point 7:	Position(1216;512)
## Calibration Point 8:	Position(640;973)
## Calibration Point 9:	Position(352;281)
## Calibration Point 10:	Position(928;281)
## Calibration Point 11:	Position(352;742)
## Calibration Point 12:	Position(928;742)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVK-X-0839-03651-NBR
## Operating System :	5.1
## IView X Version:	2.8.26
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, MSG
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]
5424826449	MSG	1	# Message: (unknown)(unknown)(unknown)(unknown)(unknown)(unknown) 3.jpg
5424826836	SMP	1	114.55	77.01	49.00	48.00	109.01	88.38	523.09	405.97
5424828836	SMP	1	114.58	76.94	50.00	49.00	109.06	88.39	522.43	406.09
5424830834	SMP	1	114.63	76.97	50.00	48.00	109.13	88.36	521.73	408.13
5424832839	SMP	1	114.70	77.19	49.00	48.00	109.16	88.43	521.95	413.20
5424834842	SMP	1	114.68	77.22	49.00	48.00	109.21	88.43	521.01	416.44
5424836840	SMP	1	114.69	77.28	49.00	48.00	109.22	88.45	520.27	418.73
5424838838	SMP	1	114.72	77.26	50.00	48.00	109.29	88.44	518.87	419.57
5424840842	SMP	1	114.82	77.22	50.00	48.00	109.34	88.48	518.82	418.24
5424842841	SMP	1	114.81	77.46	49.00	48.00	109.37	88.46	518.15	424.80
5424844844	SMP	1	114.84	77.39	49.00	49.00	109.41	88.51	517.64	423.19
5424846843	SMP	1	114.90	77.47	49.00	49.00	109.44	88.49	518.02	426.33
5424848844	SMP	1	115.01	77.40	50.00	48.00	109.48	88.54	519.59	424.77
5424850844	SMP	1	115.02	77.39	50.00	49.00	109.51	88.52	520.61	423.63
5424852845	SMP	1	115.07	77.45	50.00	48.00	109.56	88.52	521.23	424.36
5424854848	SMP	1	115.12	77.40	50.00	49.00	109.57	88.52	522.08	423.63
5424856847	SMP	1	115.15	77.46	50.00	49.00	109.65	88.53	521.62	424.57
5424858848	SMP	1	115.17	77.56	50.00	49.00	109.66	88.54	521.32	427.19
5424860845	SMP	1	115.21	77.50	50.00	49.00	109.68	88.53	521.59	427.59
5424862845	SMP	1	115.27	77.53	50.00	49.00	109.73	88.52	522.02	428.94
5424864850	SMP	1	115.22	77.54	50.00	49.00	109.74	88.52	521.34	429.74
5424866849	SMP	1	115.23	77.51	50.00	49.00	109.79	88.52	519.80	429.47
